Year,Reference area,Value
2007,,145.4
2008,,1235.9
2009,,74.6
2010,,516.9
2011,,939.9
2012,,924.9
2013,,220.6
2014,,455.7
2015,,2290.6
2016,,1006.2
2017,,1027.4
2018,,1214.6
2007,Batken,17.8
2008,Batken,130.4
2009,Batken,25.4
2010,Batken,26.2
2011,Batken,551.4
2012,Batken,267.9
2013,Batken,4.5
2014,Batken,41.6
2015,Batken,588.8
2016,Batken,376.3
2017,Batken,135.0
2018,Batken,189.8
2007,Jalal-Abad,66.7
2008,Jalal-Abad,31.0
2009,Jalal-Abad,3.7
2010,Jalal-Abad,305.9
2011,Jalal-Abad,148.6
2012,Jalal-Abad,375.2
2013,Jalal-Abad,38.0
2014,Jalal-Abad,31.2
2015,Jalal-Abad,85.1
2016,Jalal-Abad,232.3
2017,Jalal-Abad,120.1
2018,Jalal-Abad,72.9
2007,Issyk-Kul,0.5
2008,Issyk-Kul,0.7
2009,Issyk-Kul,9.5
2010,Issyk-Kul,0.6
2011,Issyk-Kul,5.3
2012,Issyk-Kul,40.4
2013,Issyk-Kul,75.2
2014,Issyk-Kul,356.3
2015,Issyk-Kul,7.7
2016,Issyk-Kul,102.7
2017,Issyk-Kul,84.2
2018,Issyk-Kul,74.2
2007,Naryn,0.6
2008,Naryn,2.8
2009,Naryn,0.6
2010,Naryn,120.1
2011,Naryn,121.0
2012,Naryn,141.3
2013,Naryn,72.2
2014,Naryn,4.3
2015,Naryn,27.8
2016,Naryn,22.3
2017,Naryn,12.8
2018,Naryn,1.4
2007,Osh,6.3
2008,Osh,1024.9
2009,Osh,10.9
2010,Osh,40.5
2011,Osh,105.0
2012,Osh,48.1
2013,Osh,2.9
2014,Osh,1.1
2015,Osh,1364.2
2016,Osh,16.2
2017,Osh,261.8
2018,Osh,12.4
2007,Talas,12.3
2008,Talas,4.4
2009,Talas,24.5
2010,Talas,22.0
2011,Talas,3.0
2012,Talas,49.0
2013,Talas,6.6
2014,Talas,1.1
2015,Talas,8.9
2016,Talas,76.1
2017,Talas,14.7
2018,Talas,0.7
2007,Chui,8.4
2010,Chui,1.7
2011,Chui,5.6
2012,Chui,1.7
2013,Chui,14.1
2014,Chui,20.0
2015,Chui,24.4
2016,Chui,93.2
2017,Chui,207.5
2018,Chui,6.1
2007,Bishkek (city),32.2
2008,Bishkek (city),41.5
2013,Bishkek (city),0.7
2015,Bishkek (city),44.7
2016,Bishkek (city),86.8
2017,Bishkek (city),129.8
2018,Bishkek (city),856.9
2007,Osh (city),0.7
2008,Osh (city),0.2
2012,Osh (city),1.1
2013,Osh (city),6.3
2015,Osh (city),139.1
2016,Osh (city),0.3
2017,Osh (city),61.5
