Year,Reference area,Value
2015,,10.810627
2016,,16.102629
2017,,20.2
2018,,12.4
2015,Batken,34.216964000000004
2016,Batken,51.971709999999995
2017,Batken,50.7
2018,Batken,44.9
2015,Jalal-Abad,30.828434
2016,Jalal-Abad,35.669135
2017,Jalal-Abad,31.6
2018,Jalal-Abad,28.9
2015,Issyk-Kul,-8.771443
2016,Issyk-Kul,19.590714000000002
2017,Issyk-Kul,25.6
2018,Issyk-Kul,16.6
2015,Naryn,-5.438854
2016,Naryn,-3.7005510000000004
2017,Naryn,16.3
2018,Naryn,5.4
2015,Osh,18.022223
2016,Osh,0.07912999999999999
2017,Osh,16.9
2018,Osh,5.4
2015,Talas,16.930726999999997
2016,Talas,15.126176999999998
2017,Talas,17.2
2018,Talas,24.8
2015,Chui,25.703179000000002
2016,Chui,26.618610999999998
2017,Chui,28.8
2018,Chui,16.2
2015,Bishkek (city),-9.015999
2016,Bishkek (city),-11.403692999999999
2017,Bishkek (city),-3.4
2018,Bishkek (city),-12.8
2015,Osh (city),10.609517
2016,Osh (city),25.440447
2017,Osh (city),37.2
2018,Osh (city),39.6
