Year,Series,Value
2007,Share of renewable energy sources in the total energy consumption,43.5
2008,Share of renewable energy sources in the total energy consumption,360.0
2009,Share of renewable energy sources in the total energy consumption,35.6
2010,Share of renewable energy sources in the total energy consumption,38.7
2011,Share of renewable energy sources in the total energy consumption,410.0
2012,Share of renewable energy sources in the total energy consumption,37.1
2013,Share of renewable energy sources in the total energy consumption,33.3
2014,Share of renewable energy sources in the total energy consumption,36.7
2015,Share of renewable energy sources in the total energy consumption,30.6
2016,Share of renewable energy sources in the total energy consumption,31.6
2017,Share of renewable energy sources in the total energy consumption,36.5
2018,Share of renewable energy sources in the total energy consumption,33.9
2019,Share of renewable energy sources in the total energy consumption,35.7
2007,Electricity production by hydropower plants,14004.1
2008,Electricity production by hydropower plants,107591.0
2009,Electricity production by hydropower plants,100980.0
2010,Electricity production by hydropower plants,112547.0
2011,Electricity production by hydropower plants,143091.0
2012,Electricity production by hydropower plants,141790.0
2013,Electricity production by hydropower plants,130967.0
2014,Electricity production by hydropower plants,132976.0
2015,Electricity production by hydropower plants,110927.0
2016,Electricity production by hydropower plants,11497.8
2017,Electricity production by hydropower plants,14191.2
2018,Electricity production by hydropower plants,14318.3
2019,Electricity production by hydropower plants,13859.3
