Year,Geographical area,Sex,Местность,Возраст (лет),Посещаемость школы,Образование матери,Функциональные трудности у ребенка,Квинтиль индекса благосостояния,Value
2018,,,,,,,,,26.7
2018,,Male,,,,,,,33.6
2018,,Female,,,,,,,19.0
2018,,,Городская,,,,,,11.9
2018,,,Сельская,,,,,,33.6
2018,Batken Oblast,,,,,,,,27.7
2018,Джалал-Абадская область,,,,,,,,34.0
2018,Иссык-Кульская область,,,,,,,,27.0
2018,Нарынская область,,,,,,,,40.5
2018,Ошская область,,,,,,,,33.3
2018,Таласская область,,,,,,,,35.1
2018,Чуйская область,,,,,,,,24.5
2018,г.Бишкек,,,,,,,,7.3
2018,г.Ош,,,,,,,,6.1
2018,,,,5-11,,,,,27.9
2018,,,,12-14,,,,,23.3
2018,,,,15-17,,,,,26.6
2018,,,,,Посещает,,,,27.0
2018,,,,,Не посещает,,,,21.6
2018,,,,,,Основное общее,,,28.7
2018,,,,,,Среднее общее,,,29.2
2018,,,,,,Профессиональное начальное/среднее,,,24.4
2018,,,,,,Высшее,,,23.1
2018,,,,,,,Есть,,34.9
2018,,,,,,,Нет,,25.9
2018,,,,,,,,Беднейший,32.1
2018,,,,,,,,Второй,30.6
2018,,,,,,,,Средний,31.8
2018,,,,,,,,Четвертый,28.0
2018,,,,,,,,Богатейший,6.1
