Year,Composite breakdown,Value
2010,,153.6
2011,,212.4
2012,,217.7
2013,,225.5
2014,,302.6
2015,,304.9
2016,,264.3
2017,,248.2
2018,,283.6
2010,Pollutants: Solid,74.5
2011,Pollutants: Solid,90.6
2012,Pollutants: Solid,90.9
2013,Pollutants: Solid,80.0
2014,Pollutants: Solid,112.7
2015,Pollutants: Solid,121.8
2016,Pollutants: Solid,101.3
2017,Pollutants: Solid,126.1
2018,Pollutants: Solid,91.0
2010,Pollutants: Gaseous and liquid,79.0
2011,Pollutants: Gaseous and liquid,121.8
2012,Pollutants: Gaseous and liquid,126.8
2013,Pollutants: Gaseous and liquid,145.6
2014,Pollutants: Gaseous and liquid,189.9
2015,Pollutants: Gaseous and liquid,183.1
2016,Pollutants: Gaseous and liquid,163.0
2017,Pollutants: Gaseous and liquid,122.1
2018,Pollutants: Gaseous and liquid,192.6
2010,Pollutants: Sulphur dioxide,39.5
2011,Pollutants: Sulphur dioxide,47.0
2012,Pollutants: Sulphur dioxide,27.1
2013,Pollutants: Sulphur dioxide,63.1
2014,Pollutants: Sulphur dioxide,92.3
2015,Pollutants: Sulphur dioxide,95.4
2016,Pollutants: Sulphur dioxide,80.6
2017,Pollutants: Sulphur dioxide,39.0
2018,Pollutants: Sulphur dioxide,90.3
2010,Pollutants: Carbon monoxide,17.0
2011,Pollutants: Carbon monoxide,48.4
2012,Pollutants: Carbon monoxide,49.8
2013,Pollutants: Carbon monoxide,52.3
2014,Pollutants: Carbon monoxide,61.5
2015,Pollutants: Carbon monoxide,49.9
2016,Pollutants: Carbon monoxide,47.1
2017,Pollutants: Carbon monoxide,47.1
2018,Pollutants: Carbon monoxide,60.7
2010,Pollutants: Nitrogen oxide ,12.5
2011,Pollutants: Nitrogen oxide ,15.4
2012,Pollutants: Nitrogen oxide ,17.6
2013,Pollutants: Nitrogen oxide ,17.3
2014,Pollutants: Nitrogen oxide ,21.2
2015,Pollutants: Nitrogen oxide ,20.0
2016,Pollutants: Nitrogen oxide ,21.8
2017,Pollutants: Nitrogen oxide ,19.5
2018,Pollutants: Nitrogen oxide ,22.8
