Year,Sex,Value
2007,,167.0
2008,,170.0
2009,,178.0
2010,,183.0
2011,,17.4
2012,,177.0
2013,,221.0
2014,,207.0
2015,,21.4
2016,,20.4
2017,,210.0
2018,,205.0
2007,Modeled,107.0
2008,Modeled,128.0
2009,Modeled,123.0
2010,Modeled,115.0
2011,Modeled,97.0
2012,Modeled,101.0
2013,Modeled,14.3
2014,Modeled,125.0
2015,Modeled,13.6
2016,Modeled,12.1
2017,Modeled,12.3
2018,Modeled,120.0
2007,Female,228.0
2008,Female,213.0
2009,Female,235.0
2010,Female,252.0
2011,Female,25.2
2012,Female,255.0
2013,Female,300.0
2014,Female,29.2
2015,Female,295.0
2016,Female,290.0
2017,Female,30.1
2018,Female,294.0
