Year,Unnamed: 0,Unnamed: 1,Unnamed: 2,Geographical area,Sex,Местность,Возраст,Образование матери,Функциональные трудности матери (в возрасте: 18-49 лет),Квинтиль индекса благосостояния,Value
2018,,,,Кыргызская Республика,,,,,,,98.9
2018,,,,Кыргызская Республика,Мужской,,,,,,99.5
2018,,,,Кыргызская Республика,Женский,,,,,,98.4
2018,,,,Кыргызская Республика,,Городская,,,,,99.1
2018,,,,Кыргызская Республика,,Сельская,,,,,98.9
2018,,,,Batken Oblast,,,,,,,99.7
2018,,,,Джалал-Абадская область,,,,,,,99.4
2018,,,,Иссык-Кульская область,,,,,,,99.8
2018,,,,Нарынская область,,,,,,,99.3
2018,,,,Ошская область,,,,,,,99.3
2018,,,,Таласская область,,,,,,,99.5
2018,,,,Чуйская область,,,,,,,96.8
2018,,,,г.Бишкек,,,,,,,99.2
2018,,,,г.Ош,,,,,,,97.5
2018,,,,Кыргызская Республика,,,0-11,,,,96.9
2018,,,,Кыргызская Республика,,,12-23,,,,98.8
2018,,,,Кыргызская Республика,,,24-35,,,,99.2
2018,,,,Кыргызская Республика,,,36-47,,,,99.9
2018,,,,Кыргызская Республика,,,48-59,,,,99.8
2018,,,,Кыргызская Республика,,,,Основное общее,,,98.1
2018,,,,Кыргызская Республика,,,,Среднее общее,,,98.8
2018,,,,Кыргызская Республика,,,,Профессиональное начальное/среднее,,,98.8
2018,,,,Кыргызская Республика,,,,Высшее,,,99.5
2018,,,,Кыргызская Республика,,,,,Есть,,97.7
2018,,,,Кыргызская Республика,,,,,Нет,,98.9
2018,,,,Кыргызская Республика,,,,,Нет информации,,100.0
2018,,,,Кыргызская Республика,,,,,,Беднейший,99.0
2018,,,,Кыргызская Республика,,,,,,Второй,98.4
2018,,,,Кыргызская Республика,,,,,,Средний,98.8
2018,,,,Кыргызская Республика,,,,,,Четвертый,99.1
2018,,,,Кыргызская Республика,,,,,,Богатейший,99.6
