Year,Reference area,Sex,Age,Degree of urbanisation,GeoCode,Value
2007,,,,,,35.0
2008,,,,,,31.7
2009,,,,,,31.7
2010,,,,,,33.7
2011,,,,,,36.8
2012,,,,,,38.0
2013,,,,,,37.0
2014,,,,,,30.6
2015,,,,,,32.1
2016,,,,,,25.4
2017,,,,,,25.6
2018,,,,,,22.4
2019,,,,,,20.124198
2020,,,,,,25.3
2021,,,,,,33.262233
2007,,Female,,,,34.7
2008,,Female,,,,31.4
2009,,Female,,,,30.7
2010,,Female,,,,32.7
2011,,Female,,,,36.1
2012,,Female,,,,37.2
2013,,Female,,,,36.5
2014,,Female,,,,29.7
2015,,Female,,,,31.5
2016,,Female,,,,25.0
2017,,Female,,,,25.0
2018,,Female,,,,22.5
2019,,Female,,,,20.078519
2020,,Female,,,,25.3
2021,,Female,,,,33.107334
2007,,Male,,,,35.4
2008,,Male,,,,32.1
2009,,Male,,,,32.9
2010,,Male,,,,34.8
2011,,Male,,,,37.6
2012,,Male,,,,39.0
2013,,Male,,,,37.5
2014,,Male,,,,31.5
2015,,Male,,,,32.7
2016,,Male,,,,25.7
2017,,Male,,,,26.3
2018,,Male,,,,22.2
2019,,Male,,,,20.175708
2020,,Male,,,,25.3
2021,,Male,,,,33.434792
2010,,,,Urban,,23.6
2014,,,,Urban,,26.9
2015,,,,Urban,,29.3
2016,,,,Urban,,18.6
2017,,,,Urban,,20.4
2018,,,,Urban,,20.1
2019,,,,Urban,,14.7
2020,,,,Urban,,18.3
2021,,,,Urban,,33.257744
2010,,,,Rural,,39.5
2014,,,,Rural,,32.6
2015,,,,Rural,,33.6
2016,,,,Rural,,29.0
2017,,,,Rural,,28.4
2018,,,,Rural,,23.7
2019,,,,Rural,,23.2
2020,,,,Rural,,29.3
2021,,,,Rural,,33.264901
2013,,,under 17 years old,,,45.2
2014,,,under 17 years old,,,37.9
2015,,,under 17 years old,,,40.5
2016,,,under 17 years old,,,31.5
2017,,,under 17 years old,,,32.0
2018,,,under 17 years old,,,28.3
2019,,,under 17 years old,,,25.7
2020,,,under 17 years old,,,31.8
2021,,,under 17 years old,,,40.506762
2013,,,14 to 28 years old,,,35.6
2014,,,14 to 28 years old,,,28.5
2015,,,14 to 28 years old,,,29.0
2016,,,14 to 28 years old,,,23.0
2017,,,14 to 28 years old,,,22.9
2018,,,14 to 28 years old,,,20.9
2019,,,14 to 28 years old,,,16.2
2020,,,14 to 28 years old,,,22.0
2021,,,14 to 28 years old,,,31.172875
2013,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,33.3
2014,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,27.0
2015,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,27.9
2016,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,21.8
2017,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,22.0
2018,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,19.3
2019,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,17.117237
2020,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,21.7
2021,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,,29.650855
2013,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,25.2
2014,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,21.3
2015,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,21.8
2016,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,19.9
2017,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,18.9
2018,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,14.8
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,13.285424
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,17.8
2021,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,24.097659
2007,Batken,,,,KG05,40.40248
2008,Batken,,,,KG05,20.74156
2009,Batken,,,,KG05,31.472533
2010,Batken,,,,KG05,33.595652
2011,Batken,,,,KG05,35.637925
2012,Batken,,,,KG05,34.23528
2013,Batken,,,,KG05,53.85581
2014,Batken,,,,KG05,40.719692
2015,Batken,,,,KG05,41.156483
2016,Batken,,,,KG05,37.049867
2017,Batken,,,,KG05,40.51893
2018,Batken,,,,KG05,33.773947
2019,Batken,,,,KG05,32.600278
2020,Batken,,,,KG05,34.7
2021,Batken,,,,KG05,40.671538
2007,Batken,Female,,,KG05,41.298197
2008,Batken,Female,,,KG05,22.400607
2009,Batken,Female,,,KG05,31.273921
2010,Batken,Female,,,KG05,31.928278
2011,Batken,Female,,,KG05,34.181401
2012,Batken,Female,,,KG05,34.639723
2013,Batken,Female,,,KG05,53.627067
2014,Batken,Female,,,KG05,39.011011
2015,Batken,Female,,,KG05,40.926454
2016,Batken,Female,,,KG05,36.116547
2017,Batken,Female,,,KG05,39.60454
2018,Batken,Female,,,KG05,33.671054
2019,Batken,Female,,,KG05,32.424874
2020,Batken,Female,,,KG05,34.3
2021,Batken,Female,,,KG05,40.835744
2007,Batken,Male,,,KG05,39.381264
2008,Batken,Male,,,KG05,18.757343
2009,Batken,Male,,,KG05,31.703885
2010,Batken,Male,,,KG05,35.557934
2011,Batken,Male,,,KG05,37.347648
2012,Batken,Male,,,KG05,33.764476
2013,Batken,Male,,,KG05,54.087839
2014,Batken,Male,,,KG05,42.448702
2015,Batken,Male,,,KG05,41.395882
2016,Batken,Male,,,KG05,38.033369
2017,Batken,Male,,,KG05,41.521176
2018,Batken,Male,,,KG05,33.888979
2019,Batken,Male,,,KG05,32.79437
2020,Batken,Male,,,KG05,35.1
2021,Batken,Male,,,KG05,40.494323
2007,Jalal-Abad,,,,KG03,53.037853
2008,Jalal-Abad,,,,KG03,40.086271
2009,Jalal-Abad,,,,KG03,36.873144
2010,Jalal-Abad,,,,KG03,44.705496
2011,Jalal-Abad,,,,KG03,45.290428
2012,Jalal-Abad,,,,KG03,55.657831
2013,Jalal-Abad,,,,KG03,46.412538
2014,Jalal-Abad,,,,KG03,46.435379
2015,Jalal-Abad,,,,KG03,45.092335
2016,Jalal-Abad,,,,KG03,32.247345
2017,Jalal-Abad,,,,KG03,32.58065
2018,Jalal-Abad,,,,KG03,32.21518
2019,Jalal-Abad,,,,KG03,26.949229
2020,Jalal-Abad,,,,KG03,37.2
