Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,Value
2015,_L_KG_100201_1,,,,,,3390.2
2016,_L_KG_100201_1,,,,,,3572.5
2017,_L_KG_100201_1,,,,,,3991.9
2018,_L_KG_100201_1,,,,,,4466.4
2019,_L_KG_100201_1,,,,,,4774.2
2015,SI_POV_50MI,,,,,B50,12.0
2016,SI_POV_50MI,,,,,B50,11.6
2017,SI_POV_50MI,,,,,B50,11.0
2018,SI_POV_50MI,,,,,B50,11.9
2019,SI_POV_50MI,,,,,B50,11.1
2015,SI_POV_50MI,,,,U,B50,8.2
2016,SI_POV_50MI,,,,U,B50,8.5
2017,SI_POV_50MI,,,,U,B50,7.9
2018,SI_POV_50MI,,,,U,B50,8.1
2019,SI_POV_50MI,,,,U,B50,8.7
2015,SI_POV_50MI,,,,R,B50,14.1
2016,SI_POV_50MI,,,,R,B50,13.3
2017,SI_POV_50MI,,,,R,B50,12.7
2018,SI_POV_50MI,,,,R,B50,14.0
2019,SI_POV_50MI,,,,R,B50,12.5
2015,SI_POV_50MI,,F,,,B50,11.7
2016,SI_POV_50MI,,F,,,B50,11.4
2017,SI_POV_50MI,,F,,,B50,10.9
2018,SI_POV_50MI,,F,,,B50,11.8
2019,SI_POV_50MI,,F,,,B50,11.0
2015,SI_POV_50MI,,M,,,B50,12.3
2016,SI_POV_50MI,,M,,,B50,11.9
2017,SI_POV_50MI,,M,,,B50,11.2
2018,SI_POV_50MI,,M,,,B50,12.0
2019,SI_POV_50MI,,M,,,B50,11.2
2015,SI_POV_50MI,,,Y0T17,,B50,19.5
2016,SI_POV_50MI,,,Y0T17,,B50,17.6
2017,SI_POV_50MI,,,Y0T17,,B50,17.4
2018,SI_POV_50MI,,,Y0T17,,B50,18.5
2019,SI_POV_50MI,,,Y0T17,,B50,17.6
2015,SI_POV_50MI,,,Y14T28,,B50,12.1
2016,SI_POV_50MI,,,Y14T28,,B50,12.5
2017,SI_POV_50MI,,,Y14T28,,B50,11.4
2018,SI_POV_50MI,,,Y14T28,,B50,13.5
2019,SI_POV_50MI,,,Y14T28,,B50,10.7
2015,SI_POV_50MI,,,Y16T62,,B50,12.3
2016,SI_POV_50MI,,,Y16T62,,B50,12.6
2017,SI_POV_50MI,,,Y16T62,,B50,11.7
2018,SI_POV_50MI,,,Y16T62,,B50,12.2
2019,SI_POV_50MI,,,Y16T62,,B50,11.0
2015,SI_POV_50MI,,,Y_GE58,,B50,7.8
2016,SI_POV_50MI,,,Y_GE58,,B50,7.8
2017,SI_POV_50MI,,,Y_GE58,,B50,7.5
2018,SI_POV_50MI,,,Y_GE58,,B50,8.4
2019,SI_POV_50MI,,,Y_GE58,,B50,8.8
2015,SI_POV_50MI,KG05,,,,B50,9.4
2016,SI_POV_50MI,KG05,,,,B50,12.2
2017,SI_POV_50MI,KG05,,,,B50,17.0
2018,SI_POV_50MI,KG05,,,,B50,12.7
2019,SI_POV_50MI,KG05,,,,B50,13.1
2015,SI_POV_50MI,KG03,,,,B50,16.4
2016,SI_POV_50MI,KG03,,,,B50,16.7
2017,SI_POV_50MI,KG03,,,,B50,16.7
2018,SI_POV_50MI,KG03,,,,B50,17.6
2019,SI_POV_50MI,KG03,,,,B50,17.4
2015,SI_POV_50MI,KG02,,,,B50,17.2
2016,SI_POV_50MI,KG02,,,,B50,16.5
2017,SI_POV_50MI,KG02,,,,B50,17.0
2018,SI_POV_50MI,KG02,,,,B50,14.7
2019,SI_POV_50MI,KG02,,,,B50,15.0
2015,SI_POV_50MI,KG04,,,,B50,31.3
2016,SI_POV_50MI,KG04,,,,B50,30.8
2017,SI_POV_50MI,KG04,,,,B50,30.8
2018,SI_POV_50MI,KG04,,,,B50,31.7
2019,SI_POV_50MI,KG04,,,,B50,29.0
2015,SI_POV_50MI,KG06,,,,B50,10.3
2016,SI_POV_50MI,KG06,,,,B50,6.3
2017,SI_POV_50MI,KG06,,,,B50,4.2
2018,SI_POV_50MI,KG06,,,,B50,8.8
2019,SI_POV_50MI,KG06,,,,B50,7.4
2015,SI_POV_50MI,KG07,,,,B50,17.6
2016,SI_POV_50MI,KG07,,,,B50,16.3
2017,SI_POV_50MI,KG07,,,,B50,17.0
2018,SI_POV_50MI,KG07,,,,B50,17.6
2019,SI_POV_50MI,KG07,,,,B50,15.1
2015,SI_POV_50MI,KG08,,,,B50,8.3
2016,SI_POV_50MI,KG08,,,,B50,9.5
2017,SI_POV_50MI,KG08,,,,B50,6.0
2018,SI_POV_50MI,KG08,,,,B50,5.5
2019,SI_POV_50MI,KG08,,,,B50,5.0
2015,SI_POV_50MI,KG11,,,,B50,6.3
2016,SI_POV_50MI,KG11,,,,B50,6.0
2017,SI_POV_50MI,KG11,,,,B50,5.3
2018,SI_POV_50MI,KG11,,,,B50,6.8
2019,SI_POV_50MI,KG11,,,,B50,6.3
2015,SI_POV_50MI,KG21,,,,B50,4.4
2016,SI_POV_50MI,KG21,,,,B50,8.8
2017,SI_POV_50MI,KG21,,,,B50,8.8
2018,SI_POV_50MI,KG21,,,,B50,10.2
2019,SI_POV_50MI,KG21,,,,B50,8.3
