Year,SERIES,Территория,Возраст,Value
2015,Распространенность анемии среди женщин в возрасте 15–49 лет,,,3.4
2016,Распространенность анемии среди женщин в возрасте 15–49 лет,,,2.8
2017,Распространенность анемии среди женщин в возрасте 15–49 лет,,,2.8
2018,Распространенность анемии среди женщин в возрасте 15–49 лет,,,2.5
2019,Распространенность анемии среди женщин в возрасте 15–49 лет,,,2.0
2020,Распространенность анемии среди женщин в возрасте 15–49 лет,,,1.156022
2021,Распространенность анемии среди женщин в возрасте 15–49 лет,,,1.3
2015,Распространенность анемии среди женщин в возрасте 15–49 лет,,до 14 лет,3.9
2016,Распространенность анемии среди женщин в возрасте 15–49 лет,,до 14 лет,3.2
2017,Распространенность анемии среди женщин в возрасте 15–49 лет,,до 14 лет,3.4
2018,Распространенность анемии среди женщин в возрасте 15–49 лет,,до 14 лет,3.0
2019,Распространенность анемии среди женщин в возрасте 15–49 лет,,до 14 лет,2.5
2020,Распространенность анемии среди женщин в возрасте 15–49 лет,,до 14 лет,1.257611
2021,Распространенность анемии среди женщин в возрасте 15–49 лет,,до 14 лет,1.5
2015,Распространенность анемии среди женщин в возрасте 15–49 лет,,15 лет и старше,3.2
2016,Распространенность анемии среди женщин в возрасте 15–49 лет,,15 лет и старше,2.6
2017,Распространенность анемии среди женщин в возрасте 15–49 лет,,15 лет и старше,2.6
2018,Распространенность анемии среди женщин в возрасте 15–49 лет,,15 лет и старше,2.3
2019,Распространенность анемии среди женщин в возрасте 15–49 лет,,15 лет и старше,1.8
2020,Распространенность анемии среди женщин в возрасте 15–49 лет,,15 лет и старше,1.108352
2021,Распространенность анемии среди женщин в возрасте 15–49 лет,,15 лет и старше,1.1
2015,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",,,52.846005
2016,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",,,47.502069
2017,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",,,52.792095
2018,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",,,58.958873
2019,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",,,55.240237
2020,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",,,40.422043
2021,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",,,35.440295
2015,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Баткенская область,,93.343001
2016,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Баткенская область,,63.421955
2017,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Баткенская область,,87.940429
2018,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Баткенская область,,86.916427
2019,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Баткенская область,,88.203209
2020,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Баткенская область,,62.073018
2021,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Баткенская область,,59.171813
2015,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Джалал-Абадская область,,69.843445
2016,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Джалал-Абадская область,,56.804052
2017,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Джалал-Абадская область,,70.581429
2018,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Джалал-Абадская область,,75.09768
2019,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Джалал-Абадская область,,80.273802
2020,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Джалал-Абадская область,,59.73299
2021,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Джалал-Абадская область,,44.777331
2015,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Иссык-Кульская область,,33.22151
2016,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Иссык-Кульская область,,35.099338
2017,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Иссык-Кульская область,,39.201903
2018,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Иссык-Кульская область,,31.307684
2019,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Иссык-Кульская область,,26.755677
2020,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Иссык-Кульская область,,29.473684
2021,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Иссык-Кульская область,,23.062382
2015,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Нарынская область,,37.077865
2016,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Нарынская область,,34.445603
2017,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Нарынская область,,32.450331
2018,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Нарынская область,,27.505407
2019,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Нарынская область,,20.346733
2020,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)",Нарынская область,,18.726592
