Year,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,GeoCode,Value
2015,"Медианное значение, сомов в месяц на душу населения",,,,,,,3390.2
2016,"Медианное значение, сомов в месяц на душу населения",,,,,,,3572.5
2017,"Медианное значение, сомов в месяц на душу населения",,,,,,,3991.9
2018,"Медианное значение, сомов в месяц на душу населения",,,,,,,4466.4
2019,"Медианное значение, сомов в месяц на душу населения",,,,,,,4774.194444
2020,"Медианное значение, сомов в месяц на душу населения",,,,,,,4700.5
2021,"Медианное значение, сомов в месяц на душу населения",,,,,,,5356.3
2022,"Медианное значение, сомов в месяц на душу населения",,,,,,,6512.5
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,,,,Нижние 50%,,12.0
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,,,,Нижние 50%,,11.6
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,,,,Нижние 50%,,11.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,,,,Нижние 50%,,11.9
2019,Доля людей с доходом ниже 50 процентов медианного дохода,,,,,Нижние 50%,,11.108723
2020,Доля людей с доходом ниже 50 процентов медианного дохода,,,,,Нижние 50%,,10.5
2021,Доля людей с доходом ниже 50 процентов медианного дохода,,,,,Нижние 50%,,9.5
2022,Доля людей с доходом ниже 50 процентов медианного дохода,,,,,Нижние 50%,,9.252414
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Городская,Нижние 50%,,8.2
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Городская,Нижние 50%,,8.5
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Городская,Нижние 50%,,7.9
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Городская,Нижние 50%,,8.1
2019,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Городская,Нижние 50%,,8.666083
2020,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Городская,Нижние 50%,,8.4
2021,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Городская,Нижние 50%,,7.9
2022,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Городская,Нижние 50%,,9.172645
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Сельская,Нижние 50%,,14.1
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Сельская,Нижние 50%,,13.3
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Сельская,Нижние 50%,,12.7
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Сельская,Нижние 50%,,14.0
2019,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Сельская,Нижние 50%,,12.479204
2020,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Сельская,Нижние 50%,,11.6
2021,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Сельская,Нижние 50%,,10.5
2022,Доля людей с доходом ниже 50 процентов медианного дохода,,,,Сельская,Нижние 50%,,9.298824
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,Женщины,,,Нижние 50%,,11.7
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,Женщины,,,Нижние 50%,,11.4
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,Женщины,,,Нижние 50%,,10.9
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,Женщины,,,Нижние 50%,,11.8
2019,Доля людей с доходом ниже 50 процентов медианного дохода,,Женщины,,,Нижние 50%,,11.025078
2020,Доля людей с доходом ниже 50 процентов медианного дохода,,Женщины,,,Нижние 50%,,10.6
2021,Доля людей с доходом ниже 50 процентов медианного дохода,,Женщины,,,Нижние 50%,,9.6
2022,Доля людей с доходом ниже 50 процентов медианного дохода,,Женщины,,,Нижние 50%,,9.392951
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,Мужчины,,,Нижние 50%,,12.3
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,Мужчины,,,Нижние 50%,,11.9
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,Мужчины,,,Нижние 50%,,11.2
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,Мужчины,,,Нижние 50%,,12.0
2019,Доля людей с доходом ниже 50 процентов медианного дохода,,Мужчины,,,Нижние 50%,,11.203036
2020,Доля людей с доходом ниже 50 процентов медианного дохода,,Мужчины,,,Нижние 50%,,10.3
2021,Доля людей с доходом ниже 50 процентов медианного дохода,,Мужчины,,,Нижние 50%,,9.4
2022,Доля людей с доходом ниже 50 процентов медианного дохода,,Мужчины,,,Нижние 50%,,9.096311
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,,до 17 лет,,Нижние 50%,,19.5
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,,до 17 лет,,Нижние 50%,,17.6
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,,до 17 лет,,Нижние 50%,,17.4
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,,до 17 лет,,Нижние 50%,,18.5
2019,Доля людей с доходом ниже 50 процентов медианного дохода,,,до 17 лет,,Нижние 50%,,17.616827
2020,Доля людей с доходом ниже 50 процентов медианного дохода,,,до 17 лет,,Нижние 50%,,16.3
2021,Доля людей с доходом ниже 50 процентов медианного дохода,,,до 17 лет,,Нижние 50%,,14.8
2022,Доля людей с доходом ниже 50 процентов медианного дохода,,,до 17 лет,,Нижние 50%,,12.819849
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,,от 14 до 28 лет,,Нижние 50%,,12.1
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,,от 14 до 28 лет,,Нижние 50%,,12.5
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,,от 14 до 28 лет,,Нижние 50%,,11.4
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,,от 14 до 28 лет,,Нижние 50%,,13.5
