Year,REF_AREA,Value
2015,,10.810627
2016,,16.102629
2017,,20.2
2018,,12.4
2019,,14.10991
2015,KG05,34.216964
2016,KG05,51.97171
2017,KG05,50.7
2018,KG05,44.9
2019,KG05,37.375177
2015,KG03,30.828434
2016,KG03,35.669135
2017,KG03,31.6
2018,KG03,28.9
2019,KG03,40.75486
2015,KG02,-8.771443
2016,KG02,19.590714
2017,KG02,25.6
2018,KG02,16.6
2019,KG02,45.71014
2015,KG04,-5.438854
2016,KG04,-3.700551
2017,KG04,16.3
2018,KG04,5.4
2019,KG04,24.570798
2015,KG06,18.022223
2016,KG06,0.07913
2017,KG06,16.9
2018,KG06,5.4
2019,KG06,12.597911
2015,KG07,16.930727
2016,KG07,15.126177
2017,KG07,17.2
2018,KG07,24.8
2019,KG07,29.450445
2015,KG08,25.703179
2016,KG08,26.618611
2017,KG08,28.8
2018,KG08,16.2
2019,KG08,17.355551
2015,KG11,-9.015999
2016,KG11,-11.403693
2017,KG11,-3.4
2018,KG11,-12.8
2019,KG11,-17.985899
2015,KG21,10.609517
2016,KG21,25.440447
2017,KG21,37.2
2018,KG21,39.6
2019,KG21,22.751648
