Year,Территория,Пол,Уровень дохода или квантиль благосостояния,Уровень образования,Сноски на уровне наблюдения,GeoCode,Value
2014,,,,,,,78.3
2018,,,,,,,71.7
2023,,,,,,,70.1
2014,Баткенская область,,,,,KG05,81.2
2018,Баткенская область,,,,,KG05,83.3
2023,Баткенская область,,,,,KG05,71.1
2014,Джалал-Абадская область,,,,,KG03,87.1
2018,Джалал-Абадская область,,,,,KG03,63.9
2023,Джалал-Абадская область,,,,,KG03,63.1
2014,Иссык-Кульская область,,,,,KG02,81.6
2018,Иссык-Кульская область,,,,,KG02,79.8
2023,Иссык-Кульская область,,,,,KG02,38.2
2014,Нарынская область,,,,,KG04,80.6
2018,Нарынская область,,,,,KG04,72.4
2023,Нарынская область,,,,,KG04,68.8
2014,Ошская область,,,,,KG06,69.6
2018,Ошская область,,,,,KG06,65.8
2023,Ошская область,,,,,KG06,81.2
2014,Таласская область,,,,,KG07,84.9
2018,Таласская область,,,,,KG07,65.1
2023,Таласская область,,,,,KG07,84.2
2014,Чуйская область,,,,,KG08,73.5
2018,Чуйская область,,,,,KG08,72.0
2023,Чуйская область,,,,,KG08,65.9
2014,г. Бишкек,,,,,KG11,87.4
2018,г. Бишкек,,,,,KG11,81.3
2023,г. Бишкек,,,,,KG11,76.2
2014,г. Ош,,,,,KG21,52.0
2018,г. Ош,,,,,KG21,71.5
2023,г. Ош,,,,,KG21,65.7
2014,,Мужчины,,,,,76.1
2018,,Мужчины,,,,,68.2
2023,,Мужчины,,,,,69.6
2014,,Женщины,,,,,80.6
2018,,Женщины,,,,,75.0
2023,,Женщины,,,,,70.3
2014,,,,Первый этап среднего образования,Образование матери,,70.1
2018,,,,Первый этап среднего образования,Образование матери,,71.0
2023,,,,Первый этап среднего образования,Образование матери,,65.4
2014,,,,Второй этап среднего образования,Образование матери,,77.2
2018,,,,Второй этап среднего образования,Образование матери,,73.8
2023,,,,Второй этап среднего образования,Образование матери,,68.9
2014,,,,Послесреднее нетретичное образование,Образование матери,,80.8
2018,,,,Послесреднее нетретичное образование,Образование матери,,70.6
2023,,,,Послесреднее нетретичное образование,Образование матери,,69.4
2014,,,,Короткий цикл третичного образования,Образование матери,,81.8
2018,,,,Короткий цикл третичного образования,Образование матери,,69.6
2023,,,,Короткий цикл третичного образования,Образование матери,,74.6
2014,,,Квинтиль 1 (беднейшие),,,,76.5
2018,,,Квинтиль 1 (беднейшие),,,,72.5
2023,,,Квинтиль 1 (беднейшие),,,,62.6
2014,,,Квинтиль 2,,,,80.3
2018,,,Квинтиль 2,,,,70.6
2023,,,Квинтиль 2,,,,73.6
2014,,,Квинтиль 3,,,,73.0
2018,,,Квинтиль 3,,,,67.2
2023,,,Квинтиль 3,,,,74.0
2014,,,Квинтиль 4,,,,79.3
2018,,,Квинтиль 4,,,,71.0
2023,,,Квинтиль 4,,,,68.4
2014,,,Квинтиль 5 (богатейшие),,,,84.3
2018,,,Квинтиль 5 (богатейшие),,,,78.0
2023,,,Квинтиль 5 (богатейшие),,,,73.9
