Year,REF_AREA,SEX,AGE,URBANISATION,Value
2016,,,,,50.2
2017,,,,,50.5
2018,,,,,45.8
2019,,,,,42.3
2016,,M,,,50.3
2017,,M,,,50.3
2018,,M,,,45.8
2019,,M,,,42.7
2016,,F,,,50.1
2017,,F,,,50.6
2018,,F,,,45.9
2019,,F,,,41.9
2016,,,Y0T18,,59.7
2017,,,Y0T18,,60.0
2018,,,Y0T18,,56.0
2019,,,Y0T18,,52.0
2016,,,Y18T64,,43.7
2017,,,Y18T64,,44.1
2018,,,Y18T64,,39.3
2019,,,Y18T64,,35.9
2016,,,Y_GE65,,49.2
2017,,,Y_GE65,,46.4
2018,,,Y_GE65,,38.6
2019,,,Y_GE65,,37.0
2016,,,,U,36.9
2017,,,,U,38.7
2018,,,,U,33.8
2019,,,,U,31.1
2016,,,,R,57.4
2017,,,,R,56.8
2018,,,,R,52.4
2019,,,,R,48.5
2016,KG05,,,,64.9
2017,KG05,,,,66.0
2018,KG05,,,,64.8
2019,KG05,,,,63.5
2016,KG03,,,,59.6
2017,KG03,,,,61.5
2018,KG03,,,,53.8
2019,KG03,,,,50.4
2016,KG02,,,,45.2
2017,KG02,,,,47.0
2018,KG02,,,,42.7
2019,KG02,,,,46.3
2016,KG04,,,,58.3
2017,KG04,,,,50.0
2018,KG04,,,,48.5
2019,KG04,,,,47.8
2016,KG06,,,,57.5
2017,KG06,,,,52.1
2018,KG06,,,,58.5
2019,KG06,,,,45.8
2016,KG07,,,,49.8
2017,KG07,,,,39.8
2018,KG07,,,,43.0
2019,KG07,,,,40.2
2016,KG08,,,,45.4
2017,KG08,,,,48.7
2018,KG08,,,,28.0
2019,KG08,,,,31.7
2016,KG11,,,,26.8
2017,KG11,,,,29.9
2018,KG11,,,,25.4
2019,KG11,,,,22.2
2016,KG21,,,,47.3
2017,KG21,,,,58.6
2018,KG21,,,,51.3
2019,KG21,,,,45.9
