Value,Disaggregation combinations using this value,Number of indicators
M0T5,2,1
M12T17,2,1
M12T23,1,1
M18T23,2,1
M24T35,3,2
M36T47,2,1
M48T59,3,2
M6T11,3,2
Y0T14,1,1
Y0T17,2,2
Y0T18,1,1
Y0T20,1,1
Y0T5,1,1
Y10T14,1,1
Y12T14,1,1
Y14T28,2,2
Y15T17,5,3
Y15T19,6,5
Y15T24,10,2
Y15T28,6,6
Y15T49,9,1
Y16T62,2,2
Y17T20,3,1
Y17T24,3,1
Y18T19,1,1
Y18T49,3,1
Y18T64,1,1
Y1T2,1,1
Y20T24,4,3
Y20T29,2,2
Y21T30,1,1
Y25T29,4,3
Y29T62,6,6
Y30T34,4,3
Y30T39,2,2
Y31T40,1,1
Y35T39,4,3
Y3T4,2,2
Y40T44,4,3
Y40T49,2,2
Y41T50,1,1
Y45T49,4,3
Y50T54,1,1
Y50T59,2,2
Y55T59,1,1
Y5T11,1,1
Y5T9,1,1
Y60T64,1,1
Y60T69,1,1
Y65T69,2,2
Y7T14,1,1
Y_GE25,1,1
Y_GE51,1,1
Y_GE58,8,8
Y_GE65,1,1
Y_GE70,3,3
