Value,en,Disaggregation combinations using this value,Number of indicators
8 лет,8 лет,2,1
9 лет,9 лет,2,1
В возрасте посещения 2-го/3-го класса,В возрасте посещения 2-го/3-го класса,2,1
Взрослое население трудоспособного возраста (от 29 лет),Взрослое население трудоспособного возраста (от 29 лет),6,6
Дети в возрасте 0 - 17 лет,Дети в возрасте 0 - 17 лет,1,1
Дети в возрасте 0-6 лет,Дети в возрасте 0-6 лет,1,1
Дети в возрасте 7-14 лет,Дети в возрасте 7-14 лет,1,1
Молодежь в возрасте 14- 28 лет,Молодежь в возрасте 14- 28 лет,1,1
"Молодёжь, 15-28 лет","Молодёжь, 15-28 лет",6,6
"Население старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)","Население старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",1,1
"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет)","Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет)",1,1
Посещающие 4-й класс,Посещающие 4-й класс,2,1
Посещающие 9-й класс,Посещающие 9-й класс,2,1
"Старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)","Старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",6,6
