Disaggregation,Number of indicators,Number of values
ACTIVITY,5,22
AGE,24,59
COMMENT_OBS,10,11
COMMENT_TS,2,3
COMPOSITE_BREAKDOWN,20,104
DISABILITY_STATUS,7,7
EDUCATION_LEV,20,9
FREQ,1,2
INCOME_WEALTH_QUANTILE,19,7
OCCUPATION,1,4
PRODUCT,1,10
REF_AREA,65,9
SEX,38,2
UNIT_MULT,5,3
URBANISATION,27,2
Возраст (лет),1,9
Возраст,1,5
Квинтиль индекса благосостояния,3,10
Местность,3,4
Образование главы домохозяйства,1,5
Образование матери,1,4
Показатель,3,6
Пол,3,2
Территория,6,11
Уровень образования,1,4
Функциональные трудности (возраст: 18-49лет),1,2
Функциональные трудности у матери,1,3
Функциональные трудности у ребенка,1,2
