Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,5.5,,PER_100000_POP,VC_IHR_PSRC
2015,5.2,,PER_100000_POP,VC_IHR_PSRC
2016,4.4,,PER_100000_POP,VC_IHR_PSRC
2017,4.2,,PER_100000_POP,VC_IHR_PSRC
2018,3.2,,PER_100000_POP,VC_IHR_PSRC
2019,2.7,,PER_100000_POP,VC_IHR_PSRC
2020,2.6,,PER_100000_POP,VC_IHR_PSRC
2021,2.6,,PER_100000_POP,VC_IHR_PSRC
2022,2.7,,PER_100000_POP,VC_IHR_PSRC
2014,320.0,,NUMBER,VC_IHR_PSRCN
2015,305.0,,NUMBER,VC_IHR_PSRCN
2016,267.0,,NUMBER,VC_IHR_PSRCN
2017,256.0,,NUMBER,VC_IHR_PSRCN
2018,203.0,,NUMBER,VC_IHR_PSRCN
2019,174.0,,NUMBER,VC_IHR_PSRCN
2020,172.0,,NUMBER,VC_IHR_PSRCN
2021,182.0,,NUMBER,VC_IHR_PSRCN
2022,191.0,,NUMBER,VC_IHR_PSRCN
