Year,COMMENT_OBS,REF_AREA,GeoCode,Value
2012,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.58
2013,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.58
2014,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.67
2015,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.67
2016,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.67
2017,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.58
2018,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.6
2019,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.6
2020,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.6
2021,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 407,,,5.6
2022,По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,,,6.3
2012,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2013,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2014,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2015,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2016,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2017,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2018,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2019,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2020,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2021,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 408,KG05,KG05,0.8
2022,По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,KG05,KG05,0.8
2012,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.9
2013,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.9
2014,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.9
2015,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.69
2016,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.69
2017,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.9
2018,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.9
2019,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.9
2020,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.9
2021,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 409,KG03,KG03,1.9
2022,По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,KG03,KG03,2.4
2012,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2013,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2014,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2015,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2016,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2017,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2018,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2019,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2020,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2021,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 410,KG02,KG02,0.7
2022,По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,KG02,KG02,0.7
2012,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.7
2013,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.7
2014,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.7
2015,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.67
2016,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.67
2017,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.68
2018,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.7
2019,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.7
2020,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.7
2021,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 411,KG04,KG04,0.7
2022,По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,KG04,KG04,0.8
2012,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.9
2013,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.9
2014,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.96
2015,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.97
2016,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.97
2017,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.9
2018,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.9
2019,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.9
2020,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.9
2021,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 412,KG06,KG06,0.9
2022,По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,KG06,KG06,1.0
2012,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2013,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2014,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2015,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2016,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2017,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2018,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2019,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2020,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2021,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 413,KG07,KG07,0.3
2022,По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,KG07,KG07,0.2
2012,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2013,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2014,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2015,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2016,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2017,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2018,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2019,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2020,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2021,Утвержден постановлением Правительства Кыргызской Республики от 26 июля 2011 года № 414,KG08,KG08,0.2
2022,По данным лесоустройства 2022 года Лесной службы при Министерстве чрезвычайных ситуаций КР,KG08,KG08,0.4
