Year,Тип продукта,Value
2018,Зерно и продукты их переработки,16.6
2019,Зерно и продукты их переработки,18.7
2020,Зерно и продукты их переработки,21.6
2021,Зерно и продукты их переработки,35.5
2022,Зерно и продукты их переработки,32.9
2018," Пшеница и продукты ее переработки, в муке",47.3
2019," Пшеница и продукты ее переработки, в муке",52.8
2020," Пшеница и продукты ее переработки, в муке",57.6
2021," Пшеница и продукты ее переработки, в муке",104.9
2022," Пшеница и продукты ее переработки, в муке",75.4
2018,Плоды-ягоды и продукты их переработки,37.9
2019,Плоды-ягоды и продукты их переработки,68.8
2020,Плоды-ягоды и продукты их переработки,46.1
2021,Плоды-ягоды и продукты их переработки,66.5
2022,Плоды-ягоды и продукты их переработки,66.1
2018,Картофель и продукты их переработки,0.7
2019,Картофель и продукты их переработки,1.0
2020,Картофель и продукты их переработки,1.3
2021,Картофель и продукты их переработки,2.7
2022,Картофель и продукты их переработки,3.2
2018,Овощебахчевые и продукты их переработки,3.9
2019,Овощебахчевые и продукты их переработки,6.0
2020,Овощебахчевые и продукты их переработки,7.0
2021,Овощебахчевые и продукты их переработки,8.7
2022,Овощебахчевые и продукты их переработки,10.6
2018,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),15.0
2019,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),18.7
2020,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),16.6
2021,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),19.2
2022,Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),23.5
2018,Молоко и молочные продукты (в пересчете на молоко),1.0
2019,Молоко и молочные продукты (в пересчете на молоко),1.8
2020,Молоко и молочные продукты (в пересчете на молоко),3.2
2021,Молоко и молочные продукты (в пересчете на молоко),1.8
2022,Молоко и молочные продукты (в пересчете на молоко),1.8
2018,Яйца  и продукты их переработки,0.6
2019,Яйца  и продукты их переработки,6.8
2020,Яйца  и продукты их переработки,11.6
2021,Яйца  и продукты их переработки,16.3
2022,Яйца  и продукты их переработки,29.2
2018,Сахар,66.9
2019,Сахар,56.2
2020,Сахар,49.7
2021,Сахар,142.6
2022,Сахар,110.7
2018,Растительное масло,396.6
2019,Растительное масло,528.7
2020,Растительное масло,1725.0
2021,Растительное масло,1018.6
2022,Растительное масло,1120.0
2018,Рыба и продукты их переработки,171.2
2019,Рыба и продукты их переработки,109.8
2020,Рыба и продукты их переработки,84.6
2021,Рыба и продукты их переработки,30.1
2022,Рыба и продукты их переработки,14.5
