Year,Series,Value
2007,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",22.4
2008,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",21.4
2009,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",19.6
2010,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",17.4
2011,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",19.9
2012,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",20.2
2013,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",208.0
2014,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",185.0
2015,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",189.0
2016,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",200.0
2017,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",19.4
2018,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов",21.1
2007,Доля расходов на здравоохранение в общей сумме государственных расходов,10.2
2008,Доля расходов на здравоохранение в общей сумме государственных расходов,9.8
2009,Доля расходов на здравоохранение в общей сумме государственных расходов,9.9
2010,Доля расходов на здравоохранение в общей сумме государственных расходов,9.3
2011,Доля расходов на здравоохранение в общей сумме государственных расходов,9.9
2012,Доля расходов на здравоохранение в общей сумме государственных расходов,10.6
2013,Доля расходов на здравоохранение в общей сумме государственных расходов,11.3
2014,Доля расходов на здравоохранение в общей сумме государственных расходов,9.9
2015,Доля расходов на здравоохранение в общей сумме государственных расходов,9.5
2016,Доля расходов на здравоохранение в общей сумме государственных расходов,8.8
2017,Доля расходов на здравоохранение в общей сумме государственных расходов,9.7
2018,Доля расходов на здравоохранение в общей сумме государственных расходов,8.6
2007,Доля расходов на социальную защиту в общей сумме государственных расходов,10.5
2008,Доля расходов на социальную защиту в общей сумме государственных расходов,10.3
2009,Доля расходов на социальную защиту в общей сумме государственных расходов,9.5
2010,Доля расходов на социальную защиту в общей сумме государственных расходов,16.1
2011,Доля расходов на социальную защиту в общей сумме государственных расходов,15.5
2012,Доля расходов на социальную защиту в общей сумме государственных расходов,16.3
2013,Доля расходов на социальную защиту в общей сумме государственных расходов,19.5
2014,Доля расходов на социальную защиту в общей сумме государственных расходов,19.2
2015,Доля расходов на социальную защиту в общей сумме государственных расходов,18.4
2016,Доля расходов на социальную защиту в общей сумме государственных расходов,16.5
2017,Доля расходов на социальную защиту в общей сумме государственных расходов,16.2
2018,Доля расходов на социальную защиту в общей сумме государственных расходов,19.1
