Year,Value,Series
2007,114961.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2008,120274.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2009,124751.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2010,133398.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2011,142897.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2012,150206.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2013,162967.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2014,168679.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2015,174693.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2016,178944.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2017,183330.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2018,187313.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2019,194364.0,"Численность населения, получающих пенсии и пособия по инвалидности, человек"
2007,2.1907490000000003,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2008,2.2739529999999997,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2009,2.326232,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2010,2.46199,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2011,2.608742,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2012,2.705494,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2013,2.8211720000000002,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2014,2.861361,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2015,2.902128,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2016,2.914302,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2017,2.930125,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2018,2.931575,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
2019,2.931575,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения"
