Year,Value,Series
2013,1037.0,"Темпы чистого изменения площади лесов в год, га"
2014,778.0,"Темпы чистого изменения площади лесов в год, га"
2015,507.0,"Темпы чистого изменения площади лесов в год, га"
2016,616.0,"Темпы чистого изменения площади лесов в год, га"
2017,490.0,"Темпы чистого изменения площади лесов в год, га"
2018,400.0,"Темпы чистого изменения площади лесов в год, га"
2013,26.7,Надземная биомасса в лесу на гектар (тонн на гектар)
2013,5.7,Доля лесных площадей в установленных законом охраняемых районах
2014,5.7,Доля лесных площадей в установленных законом охраняемых районах
2015,5.7,Доля лесных площадей в установленных законом охраняемых районах
2016,5.7,Доля лесных площадей в установленных законом охраняемых районах
2017,5.7,Доля лесных площадей в установленных законом охраняемых районах
2018,5.8,Доля лесных площадей в установленных законом охраняемых районах
2013,74.6,Доля лесных площадей с долгосрочным планом управления
2014,76.4,Доля лесных площадей с долгосрочным планом управления
2015,78.0,Доля лесных площадей с долгосрочным планом управления
2016,79.6,Доля лесных площадей с долгосрочным планом управления
2017,81.3,Доля лесных площадей с долгосрочным планом управления
2018,82.6,Доля лесных площадей с долгосрочным планом управления
