Year,Value,Series
2013,1037.0,_L_KG_150201_1
2014,778.0,_L_KG_150201_1
2015,507.0,_L_KG_150201_1
2016,616.0,_L_KG_150201_1
2017,490.0,_L_KG_150201_1
2018,400.0,_L_KG_150201_1
2019,412.0,_L_KG_150201_1
2013,26.7,AG_LND_FRSTBIOPHA
2013,5.7,AG_LND_FRSTPRCT
2014,5.7,AG_LND_FRSTPRCT
2015,5.7,AG_LND_FRSTPRCT
2016,5.7,AG_LND_FRSTPRCT
2017,5.7,AG_LND_FRSTPRCT
2018,5.8,AG_LND_FRSTPRCT
2013,74.6,AG_LND_FRSTMGT
2014,76.4,AG_LND_FRSTMGT
2015,78.0,AG_LND_FRSTMGT
2016,79.6,AG_LND_FRSTMGT
2017,81.3,AG_LND_FRSTMGT
2018,82.6,AG_LND_FRSTMGT
