Year,Value,SERIES
2014,378,Число осужденных по факту должностных преступлений
2015,336,Число осужденных по факту должностных преступлений
2016,351,Число осужденных по факту должностных преступлений
2017,234,Число осужденных по факту должностных преступлений
2018,342,Число осужденных по факту должностных преступлений
2019,223,Число осужденных по факту должностных преступлений
2020,210,Число осужденных по факту должностных преступлений
2021,371,Число осужденных по факту должностных преступлений
2022,370,Число осужденных по факту должностных преступлений
2014,62,Число осужденных по факту коррупции и взяточничества
2015,69,Число осужденных по факту коррупции и взяточничества
2016,72,Число осужденных по факту коррупции и взяточничества
2017,52,Число осужденных по факту коррупции и взяточничества
2018,56,Число осужденных по факту коррупции и взяточничества
2019,66,Число осужденных по факту коррупции и взяточничества
2020,59,Число осужденных по факту коррупции и взяточничества
2021,178,Число осужденных по факту коррупции и взяточничества
2022,137,Число осужденных по факту коррупции и взяточничества
