Year,Value,GeoCode,SERIES
2015,2.0,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2016,1.3,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2017,1.3,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2018,1.1,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2019,0.9,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2020,0.5,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2021,0.6,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2022,0.9,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2023,0.7,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2024,0.5,,"Доля женщин, зарегистрированных случаев заболеваний анемией"
2015,52.846005,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2016,47.502069,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2017,52.792095,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2018,58.958873,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2019,55.240237,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2020,40.422043,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2021,35.440295,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2022,41.1,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2023,39.0,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
2024,31.0,,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность"
