Year,Value,SERIES
2007,5.968864,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2008,6.611241,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2009,5.109427,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2010,5.204752,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2011,2.488161,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2012,1.394354,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2013,3.120433,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2014,2.594375,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2015,2.198462,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2016,2.327986,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2017,2.172493,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2018,2.163941,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2019,2.259523,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2020,2.4,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2021,3.5,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2022,3.8,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2023,3.7,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности населения"
2007,59.241298,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2008,61.233202,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2009,48.534186,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2010,49.060743,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2011,22.957535,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2012,12.62552,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2013,28.824314,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2014,24.113102,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2015,20.458403,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2016,21.618658,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2017,20.190277,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2018,19.898854,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2019,20.5,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2020,21.8,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2021,30.8,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2022,33.6,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
2023,32.3,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к общей численности пенсионеров"
