Year,Value,Series
2008,29.2,_L_KG_100501_11
2009,36.6,_L_KG_100501_11
2010,27.6,_L_KG_100501_11
2011,23.6,_L_KG_100501_11
2012,28.2,_L_KG_100501_11
2013,31.3,_L_KG_100501_11
2014,34.3,_L_KG_100501_11
2015,41.4,_L_KG_100501_11
2016,37.4,_L_KG_100501_11
2017,37.3,_L_KG_100501_11
2018,39.8,_L_KG_100501_11
2007,16.5,_L_KG_100501_12
2008,15.7,_L_KG_100501_12
2009,19.7,_L_KG_100501_12
2010,15.5,_L_KG_100501_12
2011,13.5,_L_KG_100501_12
2012,16.3,_L_KG_100501_12
2013,19.0,_L_KG_100501_12
2014,20.6,_L_KG_100501_12
2015,23.9,_L_KG_100501_12
2016,22.5,_L_KG_100501_12
2017,22.9,_L_KG_100501_12
2018,23.9,_L_KG_100501_12
2007,14.7,_L_KG_100501_13
2008,13.6,_L_KG_100501_13
2009,12.5,_L_KG_100501_13
2010,12.0,_L_KG_100501_13
2011,10.9,_L_KG_100501_13
2012,12.9,_L_KG_100501_13
2013,15.2,_L_KG_100501_13
2014,19.7,_L_KG_100501_13
2015,21.8,_L_KG_100501_13
2016,19.6,_L_KG_100501_13
2017,20.4,_L_KG_100501_13
2018,23.0,_L_KG_100501_13
