Year,Value,Series
2007,43.5,CL_SERIES._L_KG_070201_1A
2008,36.0,CL_SERIES._L_KG_070201_1A
2009,35.6,CL_SERIES._L_KG_070201_1A
2010,38.7,CL_SERIES._L_KG_070201_1A
2011,41.0,CL_SERIES._L_KG_070201_1A
2012,37.1,CL_SERIES._L_KG_070201_1A
2013,33.3,CL_SERIES._L_KG_070201_1A
2014,36.7,CL_SERIES._L_KG_070201_1A
2015,30.6,CL_SERIES._L_KG_070201_1A
2016,31.6,CL_SERIES._L_KG_070201_1A
2017,36.5,CL_SERIES._L_KG_070201_1A
2018,33.9,CL_SERIES._L_KG_070201_1A
2007,14004.1,CL_SERIES._L_KG_070201_1B
2008,10759.1,CL_SERIES._L_KG_070201_1B
2009,10098.0,CL_SERIES._L_KG_070201_1B
2010,11254.7,CL_SERIES._L_KG_070201_1B
2011,14309.1,CL_SERIES._L_KG_070201_1B
2012,14179.0,CL_SERIES._L_KG_070201_1B
2013,13096.7,CL_SERIES._L_KG_070201_1B
2014,13297.6,CL_SERIES._L_KG_070201_1B
2015,11092.7,CL_SERIES._L_KG_070201_1B
2016,11497.8,CL_SERIES._L_KG_070201_1B
2017,14191.2,CL_SERIES._L_KG_070201_1B
2018,14318.3,CL_SERIES._L_KG_070201_1B
