Year,Value,UNIT_MEASURE,SERIES
2019,484.0,NUMBER,SG_GOV_LOGV
2020,484.0,NUMBER,SG_GOV_LOGV
2021,484.0,NUMBER,SG_GOV_LOGV
2022,484.0,NUMBER,SG_GOV_LOGV
2023,484.0,NUMBER,SG_GOV_LOGV
2024,484.0,NUMBER,SG_GOV_LOGV
2019,10.1,PT,SG_DSR_SILS
2020,13.8,PT,SG_DSR_SILS
2021,21.5,PT,SG_DSR_SILS
2022,34.5,PT,SG_DSR_SILS
2023,34.9,PT,SG_DSR_SILS
2024,35.5,PT,SG_DSR_SILS
2019,49.0,NUMBER,SG_DSR_SILN
2020,67.0,NUMBER,SG_DSR_SILN
2021,104.0,NUMBER,SG_DSR_SILN
2022,167.0,NUMBER,SG_DSR_SILN
2023,169.0,NUMBER,SG_DSR_SILN
2024,172.0,NUMBER,SG_DSR_SILN
