Year,Value,Series
2007,94.1,SH_ACS_DTP3
2008,95.3,SH_ACS_DTP3
2009,95.4,SH_ACS_DTP3
2010,96.5,SH_ACS_DTP3
2011,95.1,SH_ACS_DTP3
2012,96.2,SH_ACS_DTP3
2013,96.9,SH_ACS_DTP3
2014,95.8,SH_ACS_DTP3
2015,96.6,SH_ACS_DTP3
2016,96.1,SH_ACS_DTP3
2017,93.4,SH_ACS_DTP3
2018,94.5,SH_ACS_DTP3
2019,94.351083,SH_ACS_DTP3
2007,98.8,SH_ACS_MCV2
2008,99.1,SH_ACS_MCV2
2009,98.9,SH_ACS_MCV2
2010,98.3,SH_ACS_MCV2
2011,97.2,SH_ACS_MCV2
2012,97.7,SH_ACS_MCV2
2013,98.666102,SH_ACS_MCV2
2014,95.6,SH_ACS_MCV2
2015,99.1,SH_ACS_MCV2
2016,97.0,SH_ACS_MCV2
2017,94.7,SH_ACS_MCV2
2018,96.244215,SH_ACS_MCV2
2019,97.245414,SH_ACS_MCV2
2015,96.8,SH_ACS_PCV3
2016,97.2,SH_ACS_PCV3
2017,94.2,SH_ACS_PCV3
2018,92.0,SH_ACS_PCV3
2019,95.083643,SH_ACS_PCV3
