Year,Value,Series
2007,22.4,CL_SERIES.SD_XPD_ESED
2008,21.4,CL_SERIES.SD_XPD_ESED
2009,19.6,CL_SERIES.SD_XPD_ESED
2010,17.4,CL_SERIES.SD_XPD_ESED
2011,19.9,CL_SERIES.SD_XPD_ESED
2012,20.2,CL_SERIES.SD_XPD_ESED
2013,208.0,CL_SERIES.SD_XPD_ESED
2014,185.0,CL_SERIES.SD_XPD_ESED
2015,189.0,CL_SERIES.SD_XPD_ESED
2016,200.0,CL_SERIES.SD_XPD_ESED
2017,19.4,CL_SERIES.SD_XPD_ESED
2018,21.1,CL_SERIES.SD_XPD_ESED
2007,10.2,CL_SERIES.SG_XPD_HLTH
2008,9.8,CL_SERIES.SG_XPD_HLTH
2009,9.9,CL_SERIES.SG_XPD_HLTH
2010,9.3,CL_SERIES.SG_XPD_HLTH
2011,9.9,CL_SERIES.SG_XPD_HLTH
2012,10.6,CL_SERIES.SG_XPD_HLTH
2013,11.3,CL_SERIES.SG_XPD_HLTH
2014,9.9,CL_SERIES.SG_XPD_HLTH
2015,9.5,CL_SERIES.SG_XPD_HLTH
2016,8.8,CL_SERIES.SG_XPD_HLTH
2017,9.7,CL_SERIES.SG_XPD_HLTH
2018,8.6,CL_SERIES.SG_XPD_HLTH
2007,10.5,CL_SERIES.SG_XPD_PROT
2008,10.3,CL_SERIES.SG_XPD_PROT
2009,9.5,CL_SERIES.SG_XPD_PROT
2010,16.1,CL_SERIES.SG_XPD_PROT
2011,15.5,CL_SERIES.SG_XPD_PROT
2012,16.3,CL_SERIES.SG_XPD_PROT
2013,19.5,CL_SERIES.SG_XPD_PROT
2014,19.2,CL_SERIES.SG_XPD_PROT
2015,18.4,CL_SERIES.SG_XPD_PROT
2016,16.5,CL_SERIES.SG_XPD_PROT
2017,16.2,CL_SERIES.SG_XPD_PROT
2018,19.1,CL_SERIES.SG_XPD_PROT
