Year,concept.REF_AREA,concept.SEX,Value
2007,,,7.76329
2008,,,10.378419000000001
2009,,,12.464527
2010,,,10.168944
2011,,,10.771106
2012,,,12.55459
2013,,,8.4
2014,,,10.5
2015,,,10.2
2016,,,11.7
2017,,,12.8
2007,,Женщины,4.195446
2008,,Женщины,6.715757000000001
2009,,Женщины,6.454885
2010,,Женщины,6.0535120000000004
2011,,Женщины,6.446899
2012,,Женщины,10.573649000000001
2013,,Женщины,7.0
2014,,Женщины,9.1
2015,,Женщины,9.1
2016,,Женщины,9.7
2017,,Женщины,10.7
2007,,Смоделированные данные,11.428246000000001
2008,,Смоделированные данные,14.141010000000001
2009,,Смоделированные данные,18.632417999999998
2010,,Смоделированные данные,14.390731
2011,,Смоделированные данные,15.205416
2012,,Смоделированные данные,14.583421
2013,,Смоделированные данные,9.8
2014,,Смоделированные данные,11.9
2015,,Смоделированные данные,11.2
2016,,Смоделированные данные,13.8
2017,,Смоделированные данные,15.1
2007,Баткен,,1.899344
2008,Баткен,,3.767117
2009,Баткен,,1.6262159999999999
2010,Баткен,,1.142983
2011,Баткен,,2.5
2012,Баткен,,3.965893
2013,Баткен,,3.9
2014,Баткен,,7.2
2015,Баткен,,5.1
2016,Баткен,,3.4
2017,Баткен,,5.1
2007,Баткен,Женщины,1.448324
2008,Баткен,Женщины,3.3536309999999996
2009,Баткен,Женщины,0.472862
2010,Баткен,Женщины,1.394311
2011,Баткен,Женщины,2.3
2012,Баткен,Женщины,4.027476
2013,Баткен,Женщины,4.4
2014,Баткен,Женщины,7.7
2015,Баткен,Женщины,6.3
2016,Баткен,Женщины,3.3
2017,Баткен,Женщины,4.4
2007,Баткен,Смоделированные данные,2.335772
2008,Баткен,Смоделированные данные,4.166686
2009,Баткен,Смоделированные данные,2.740114
2010,Баткен,Смоделированные данные,0.899717
2011,Баткен,Смоделированные данные,2.7
2012,Баткен,Смоделированные данные,3.906165
2013,Баткен,Смоделированные данные,3.4
2014,Баткен,Смоделированные данные,6.6
2015,Баткен,Смоделированные данные,4.0
2016,Баткен,Смоделированные данные,3.6
2017,Баткен,Смоделированные данные,5.8
2007,Джалал-Абадская область,,4.453333
2008,Джалал-Абадская область,,7.003719
2009,Джалал-Абадская область,,6.010142
2010,Джалал-Абадская область,,5.922974
2011,Джалал-Абадская область,,4.878352
2012,Джалал-Абадская область,,9.104049
2013,Джалал-Абадская область,,4.7
2014,Джалал-Абадская область,,7.2
2015,Джалал-Абадская область,,8.3
2016,Джалал-Абадская область,,6.4
2017,Джалал-Абадская область,,10.3
2007,Джалал-Абадская область,Женщины,3.846683
2008,Джалал-Абадская область,Женщины,5.605639
2009,Джалал-Абадская область,Женщины,4.73341
2010,Джалал-Абадская область,Женщины,5.832071
2011,Джалал-Абадская область,Женщины,3.639589
2012,Джалал-Абадская область,Женщины,9.59119
2013,Джалал-Абадская область,Женщины,5.2
2014,Джалал-Абадская область,Женщины,6.5
2015,Джалал-Абадская область,Женщины,8.1
2016,Джалал-Абадская область,Женщины,4.3
2017,Джалал-Абадская область,Женщины,10.7
2007,Джалал-Абадская область,Смоделированные данные,5.059786
2008,Джалал-Абадская область,Смоделированные данные,8.40047
2009,Джалал-Абадская область,Смоделированные данные,7.284655
2010,Джалал-Абадская область,Смоделированные данные,6.013684
2011,Джалал-Абадская область,Смоделированные данные,6.113894
2012,Джалал-Абадская область,Смоделированные данные,8.618719
2013,Джалал-Абадская область,Смоделированные данные,4.2
2014,Джалал-Абадская область,Смоделированные данные,7.9
2015,Джалал-Абадская область,Смоделированные данные,8.4
2016,Джалал-Абадская область,Смоделированные данные,8.4
2017,Джалал-Абадская область,Смоделированные данные,9.8
2007,Иссык-Кульская область,,0.46075
2008,Иссык-Кульская область,,2.7500169999999997
2009,Иссык-Кульская область,,2.730419
2010,Иссык-Кульская область,,1.8
2011,Иссык-Кульская область,,5.378007
2012,Иссык-Кульская область,,3.10632
2013,Иссык-Кульская область,,2.9
2014,Иссык-Кульская область,,6.3
2015,Иссык-Кульская область,,6.6
2016,Иссык-Кульская область,,8.2
2017,Иссык-Кульская область,,8.8
2008,Иссык-Кульская область,Женщины,2.261932
2009,Иссык-Кульская область,Женщины,1.349637
2011,Иссык-Кульская область,Женщины,3.5535660000000004
2012,Иссык-Кульская область,Женщины,2.641054
2013,Иссык-Кульская область,Женщины,2.6
2014,Иссык-Кульская область,Женщины,6.5
2015,Иссык-Кульская область,Женщины,4.7
2016,Иссык-Кульская область,Женщины,7.1
2017,Иссык-Кульская область,Женщины,5.8
2007,Иссык-Кульская область,Смоделированные данные,0.934881
2008,Иссык-Кульская область,Смоделированные данные,3.251111
2009,Иссык-Кульская область,Смоделированные данные,4.1434370000000005
2010,Иссык-Кульская область,Смоделированные данные,3.6
2011,Иссык-Кульская область,Смоделированные данные,7.235366
2012,Иссык-Кульская область,Смоделированные данные,3.5792260000000002
2013,Иссык-Кульская область,Смоделированные данные,3.1
2014,Иссык-Кульская область,Смоделированные данные,6.1
2015,Иссык-Кульская область,Смоделированные данные,8.6
2016,Иссык-Кульская область,Смоделированные данные,9.3
2017,Иссык-Кульская область,Смоделированные данные,11.7
2008,Нарынская область,,0.388928
2009,Нарынская область,,0.774278
2010,Нарынская область,,2.300993
2011,Нарынская область,,9.486153999999999
2012,Нарынская область,,4.502426
2013,Нарынская область,,4.1
2014,Нарынская область,,8.8
2015,Нарынская область,,7.2
2016,Нарынская область,,8.9
2017,Нарынская область,,12.4
2009,Нарынская область,Женщины,0.783337
2010,Нарынская область,Женщины,0.77688
2011,Нарынская область,Женщины,3.8463910000000006
2012,Нарынская область,Женщины,3.046018
2013,Нарынская область,Женщины,3.7648330000000003
2014,Нарынская область,Женщины,4.463024
2015,Нарынская область,Женщины,3.675822
2016,Нарынская область,Женщины,6.544503
2017,Нарынская область,Женщины,10.802091
2008,Нарынская область,Смоделированные данные,0.770149
2009,Нарынская область,Смоделированные данные,0.7654270000000001
2010,Нарынская область,Смоделированные данные,3.7868169999999997
2011,Нарынская область,Смоделированные данные,14.975665
2012,Нарынская область,Смоделированные данные,5.9169849999999995
2013,Нарынская область,Смоделированные данные,4.382473
2014,Нарынская область,Смоделированные данные,12.996202
2015,Нарынская область,Смоделированные данные,10.708549
2016,Нарынская область,Смоделированные данные,11.281191
2017,Нарынская область,Смоделированные данные,13.927674
2007,Ошская область,,9.538917999999999
2008,Ошская область,,11.894501
2009,Ошская область,,10.995814999999999
2010,Ошская область,,9.071755
2011,Ошская область,,8.777173
2012,Ошская область,,17.148062
2013,Ошская область,,6.2
2014,Ошская область,,7.7
2015,Ошская область,,7.9
2016,Ошская область,,7.9
2017,Ошская область,,8.1
2007,Ошская область,Женщины,6.907715
2008,Ошская область,Женщины,12.173551
2009,Ошская область,Женщины,10.721366
2010,Ошская область,Женщины,9.319097
2011,Ошская область,Женщины,9.015013
2012,Ошская область,Женщины,15.102567
2013,Ошская область,Женщины,6.5
2014,Ошская область,Женщины,7.3
2015,Ошская область,Женщины,7.8
2016,Ошская область,Женщины,8.6
2017,Ошская область,Женщины,8.5
2007,Ошская область,Смоделированные данные,12.128919
2008,Ошская область,Смоделированные данные,11.619821
2009,Ошская область,Смоделированные данные,11.265893
2010,Ошская область,Смоделированные данные,8.828073
2011,Ошская область,Смоделированные данные,8.542598
2012,Ошская область,Смоделированные данные,19.1643
2013,Ошская область,Смоделированные данные,5.9
2014,Ошская область,Смоделированные данные,8.2
2015,Ошская область,Смоделированные данные,8.0
2016,Ошская область,Смоделированные данные,7.2
2017,Ошская область,Смоделированные данные,7.6
2007,Таласская область,,1.347358
2008,Таласская область,,1.7774459999999999
2009,Таласская область,,3.074923
2010,Таласская область,,2.170073
2011,Таласская область,,4.281317
2012,Таласская область,,6.7
2013,Таласская область,,4.6
2014,Таласская область,,4.9
2015,Таласская область,,5.6
2016,Таласская область,,5.5
2017,Таласская область,,5.8
2007,Таласская область,Женщины,0.8980290000000001
2008,Таласская область,Женщины,0.889229
2009,Таласская область,Женщины,1.7600209999999998
2010,Таласская область,Женщины,0.870489
2011,Таласская область,Женщины,1.7202529999999998
2012,Таласская область,Женщины,6.8
2013,Таласская область,Женщины,5.0
2014,Таласская область,Женщины,4.1
2015,Таласская область,Женщины,4.9
2016,Таласская область,Женщины,4.8
2017,Таласская область,Женщины,5.5
2007,Таласская область,Смоделированные данные,1.7968970000000002
2008,Таласская область,Смоделированные данные,2.664653
2009,Таласская область,Смоделированные данные,4.385426
2010,Таласская область,Смоделированные данные,3.462334
2011,Таласская область,Смоделированные данные,6.81948
2012,Таласская область,Смоделированные данные,6.7
2013,Таласская область,Смоделированные данные,4.1
2014,Таласская область,Смоделированные данные,5.7
2015,Таласская область,Смоделированные данные,6.4
2016,Таласская область,Смоделированные данные,6.3
2017,Таласская область,Смоделированные данные,6.2
2007,Чуй,,12.002921
2008,Чуй,,21.171074
2009,Чуй,,31.682411
2010,Чуй,,24.643956
2011,Чуй,,25.161074
2012,Чуй,,24.56467
2013,Чуй,,18.6
2014,Чуй,,22.3
2015,Чуй,,18.9
2016,Чуй,,29.3
2017,Чуй,,30.7
2007,Чуй,Женщины,4.466468
2008,Чуй,Женщины,7.873996000000001
2009,Чуй,Женщины,8.300943
2010,Чуй,Женщины,8.479011
2011,Чуй,Женщины,10.573085
2012,Чуй,Женщины,20.86188
2013,Чуй,Женщины,14.0
2014,Чуй,Женщины,15.8
2015,Чуй,Женщины,18.6
2016,Чуй,Женщины,22.4
2017,Чуй,Женщины,22.4
2007,Чуй,Смоделированные данные,19.821299
2008,Чуй,Смоделированные данные,34.961644
2009,Чуй,Смоделированные данные,55.911149
2010,Чуй,Смоделированные данные,41.37682
2011,Чуй,Смоделированные данные,40.241049
2012,Чуй,Смоделированные данные,28.386914
2013,Чуй,Смоделированные данные,23.3
2014,Чуй,Смоделированные данные,29.0
2015,Чуй,Смоделированные данные,19.2
2016,Чуй,Смоделированные данные,36.5
2017,Чуй,Смоделированные данные,39.1
2007,Бишкек (город),,5.50316
2008,Бишкек (город),,8.098507000000001
2009,Бишкек (город),,9.172137
2010,Бишкек (город),,10.666592
2011,Бишкек (город),,12.340325
2012,Бишкек (город),,8.81898
2013,Бишкек (город),,10.6
2014,Бишкек (город),,9.7
2015,Бишкек (город),,12.2
2016,Бишкек (город),,13.3
2017,Бишкек (город),,13.0
2007,Бишкек (город),Женщины,2.970668
2008,Бишкек (город),Женщины,5.410487
2009,Бишкек (город),Женщины,3.775621
2010,Бишкек (город),Женщины,4.593246
2011,Бишкек (город),Женщины,5.16827
2012,Бишкек (город),Женщины,4.014528
2013,Бишкек (город),Женщины,5.0
2014,Бишкек (город),Женщины,8.7
2015,Бишкек (город),Женщины,8.5
2016,Бишкек (город),Женщины,9.7
2017,Бишкек (город),Женщины,8.1
2007,Бишкек (город),Смоделированные данные,8.418837
2008,Бишкек (город),Смоделированные данные,11.205796000000001
2009,Бишкек (город),Смоделированные данные,15.414575
2010,Бишкек (город),Смоделированные данные,17.679536
2011,Бишкек (город),Смоделированные данные,20.610672
2012,Бишкек (город),Смоделированные данные,14.349120999999998
2013,Бишкек (город),Смоделированные данные,17.1
2014,Бишкек (город),Смоделированные данные,10.9
2015,Бишкек (город),Смоделированные данные,16.5
2016,Бишкек (город),Смоделированные данные,17.4
2017,Бишкек (город),Смоделированные данные,18.6
2007,г. Ош,,34.332219
2008,г. Ош,,24.466209
2009,г. Ош,,49.505333
2010,г. Ош,,29.5172
2011,г. Ош,,23.451516
2012,г. Ош,,25.566531
2013,г. Ош,,19.0
2014,г. Ош,,21.3
2015,г. Ош,,15.0
2016,г. Ош,,19.0
2017,г. Ош,,15.1
2007,г. Ош,Женщины,12.747736999999999
2008,г. Ош,Женщины,11.939764
2009,г. Ош,Женщины,26.046124
2010,г. Ош,Женщины,17.921147
2011,г. Ош,Женщины,16.507717
2012,г. Ош,Женщины,20.837209
2013,г. Ош,Женщины,19.0
2014,г. Ош,Женщины,23.0
2015,г. Ош,Женщины,12.0
2016,г. Ош,Женщины,18.7
2017,г. Ош,Женщины,14.2
2007,г. Ош,Смоделированные данные,57.741416
2008,г. Ош,Смоделированные данные,38.059146000000005
2009,г. Ош,Смоделированные данные,74.890684
2010,г. Ош,Смоделированные данные,42.085839
2011,г. Ош,Смоделированные данные,31.001175
2012,г. Ош,Смоделированные данные,30.700869
2013,г. Ош,Смоделированные данные,19.0
2014,г. Ош,Смоделированные данные,19.4
2015,г. Ош,Смоделированные данные,18.2
2016,г. Ош,Смоделированные данные,19.3
2017,г. Ош,Смоделированные данные,16.0
