Year,Составная разбивка,Value
2010,CL_COMP_BREAKDOWN._L_COFOG_GF01,101.9
2011,CL_COMP_BREAKDOWN._L_COFOG_GF01,98.1
2012,CL_COMP_BREAKDOWN._L_COFOG_GF01,99.5
2013,CL_COMP_BREAKDOWN._L_COFOG_GF01,98.9
2014,CL_COMP_BREAKDOWN._L_COFOG_GF01,97.5
2015,CL_COMP_BREAKDOWN._L_COFOG_GF01,96.9
2016,CL_COMP_BREAKDOWN._L_COFOG_GF01,98.7
2017,CL_COMP_BREAKDOWN._L_COFOG_GF01,100.4
2018,CL_COMP_BREAKDOWN._L_COFOG_GF01,102.2
2019,CL_COMP_BREAKDOWN._L_COFOG_GF01,101.9
2010,Сектор:  экономические вопросы,62.9
2011,Сектор:  экономические вопросы,98.4
2012,Сектор:  экономические вопросы,99.4
2013,Сектор:  экономические вопросы,95.7
2014,Сектор:  экономические вопросы,84.8
2015,Сектор:  экономические вопросы,94.8
2016,Сектор:  экономические вопросы,165.3
2017,Сектор:  экономические вопросы,94.9
2018,Сектор:  экономические вопросы,80.1
2019,Сектор:  экономические вопросы,105.5
2010,CL_COMP_BREAKDOWN._L_COFOG_GF05,94.5
2011,CL_COMP_BREAKDOWN._L_COFOG_GF05,99.2
2012,CL_COMP_BREAKDOWN._L_COFOG_GF05,99.9
2013,CL_COMP_BREAKDOWN._L_COFOG_GF05,91.7
2014,CL_COMP_BREAKDOWN._L_COFOG_GF05,98.7
2015,CL_COMP_BREAKDOWN._L_COFOG_GF05,93.6
2016,CL_COMP_BREAKDOWN._L_COFOG_GF05,70.4
2017,CL_COMP_BREAKDOWN._L_COFOG_GF05,101.9
2018,CL_COMP_BREAKDOWN._L_COFOG_GF05,111.5
2019,CL_COMP_BREAKDOWN._L_COFOG_GF05,104.4
2010,Сектор: жилищно-коммунальные услуги,98.8
2011,Сектор: жилищно-коммунальные услуги,96.3
2012,Сектор: жилищно-коммунальные услуги,100.0
2013,Сектор: жилищно-коммунальные услуги,98.2
2014,Сектор: жилищно-коммунальные услуги,99.5
2015,Сектор: жилищно-коммунальные услуги,95.0
2016,Сектор: жилищно-коммунальные услуги,32.5
2017,Сектор: жилищно-коммунальные услуги,136.5
2018,Сектор: жилищно-коммунальные услуги,132.3
2019,Сектор: жилищно-коммунальные услуги,141.7
2010,Сектор: здравоохранение,99.8
2011,Сектор: здравоохранение,98.8
2012,Сектор: здравоохранение,99.6
2013,Сектор: здравоохранение,97.3
2014,Сектор: здравоохранение,96.2
2015,Сектор: здравоохранение,98.4
2016,Сектор: здравоохранение,89.8
2017,Сектор: здравоохранение,124.3
2018,Сектор: здравоохранение,105.4
2019,Сектор: здравоохранение,125.6
2010,CL_COMP_BREAKDOWN._L_COFOG_GF08,99.0
2011,CL_COMP_BREAKDOWN._L_COFOG_GF08,97.8
2012,CL_COMP_BREAKDOWN._L_COFOG_GF08,99.1
2013,CL_COMP_BREAKDOWN._L_COFOG_GF08,98.8
2014,CL_COMP_BREAKDOWN._L_COFOG_GF08,95.8
2015,CL_COMP_BREAKDOWN._L_COFOG_GF08,97.8
2016,CL_COMP_BREAKDOWN._L_COFOG_GF08,123.6
2017,CL_COMP_BREAKDOWN._L_COFOG_GF08,172.2
2018,CL_COMP_BREAKDOWN._L_COFOG_GF08,119.4
2019,CL_COMP_BREAKDOWN._L_COFOG_GF08,130.8
2010,Сектор: образование,98.6
2011,Сектор: образование,98.8
2012,Сектор: образование,99.5
2013,Сектор: образование,96.8
2014,Сектор: образование,99.5
2015,Сектор: образование,97.3
2016,Сектор: образование,83.7
2017,Сектор: образование,112.8
2018,Сектор: образование,106.4
2019,Сектор: образование,114.1
2010,CL_COMP_BREAKDOWN._L_COFOG_GF10,98.8
2011,CL_COMP_BREAKDOWN._L_COFOG_GF10,98.7
2012,CL_COMP_BREAKDOWN._L_COFOG_GF10,96.2
2013,CL_COMP_BREAKDOWN._L_COFOG_GF10,97.8
2014,CL_COMP_BREAKDOWN._L_COFOG_GF10,94.9
2015,CL_COMP_BREAKDOWN._L_COFOG_GF10,98.4
2016,CL_COMP_BREAKDOWN._L_COFOG_GF10,97.2
2017,CL_COMP_BREAKDOWN._L_COFOG_GF10,90.5
2018,CL_COMP_BREAKDOWN._L_COFOG_GF10,89.4
2019,CL_COMP_BREAKDOWN._L_COFOG_GF10,90.4
