Year,COMPOSITE_BREAKDOWN,Value
2010,Сектор: Государственные услуги общего назначения,101.9
2011,Сектор: Государственные услуги общего назначения,98.1
2012,Сектор: Государственные услуги общего назначения,99.5
2013,Сектор: Государственные услуги общего назначения,98.9
2014,Сектор: Государственные услуги общего назначения,97.5
2015,Сектор: Государственные услуги общего назначения,96.9
2016,Сектор: Государственные услуги общего назначения,98.7
2017,Сектор: Государственные услуги общего назначения,100.4
2018,Сектор: Государственные услуги общего назначения,102.2
2019,Сектор: Государственные услуги общего назначения,98.9
2020,Сектор: Государственные услуги общего назначения,101.9
2021,Сектор: Государственные услуги общего назначения,109.6
2010,Сектор: Экономические вопросы,62.9
2011,Сектор: Экономические вопросы,98.4
2012,Сектор: Экономические вопросы,99.4
2013,Сектор: Экономические вопросы,95.7
2014,Сектор: Экономические вопросы,84.8
2015,Сектор: Экономические вопросы,94.8
2016,Сектор: Экономические вопросы,165.3
2017,Сектор: Экономические вопросы,94.9
2018,Сектор: Экономические вопросы,80.1
2019,Сектор: Экономические вопросы,70.8
2020,Сектор: Экономические вопросы,49.1
2021,Сектор: Экономические вопросы,69.0
2010,Сектор: Охрана окружающей среды,94.5
2011,Сектор: Охрана окружающей среды,99.2
2012,Сектор: Охрана окружающей среды,99.9
2013,Сектор: Охрана окружающей среды,91.7
2014,Сектор: Охрана окружающей среды,98.7
2015,Сектор: Охрана окружающей среды,93.6
2016,Сектор: Охрана окружающей среды,70.4
2017,Сектор: Охрана окружающей среды,101.9
2018,Сектор: Охрана окружающей среды,111.5
2019,Сектор: Охрана окружающей среды,95.5
2020,Сектор: Охрана окружающей среды,78.1
2021,Сектор: Охрана окружающей среды,94.0
2010,Сектор: Жилищно-коммунальные услуги,98.8
2011,Сектор: Жилищно-коммунальные услуги,96.3
2012,Сектор: Жилищно-коммунальные услуги,100.0
2013,Сектор: Жилищно-коммунальные услуги,98.2
2014,Сектор: Жилищно-коммунальные услуги,99.5
2015,Сектор: Жилищно-коммунальные услуги,95.0
2016,Сектор: Жилищно-коммунальные услуги,32.5
2017,Сектор: Жилищно-коммунальные услуги,136.5
2018,Сектор: Жилищно-коммунальные услуги,132.3
2019,Сектор: Жилищно-коммунальные услуги,99.7
2020,Сектор: Жилищно-коммунальные услуги,96.7
2021,Сектор: Жилищно-коммунальные услуги,110.3
2010,Сектор: Здравоохранение,99.8
2011,Сектор: Здравоохранение,98.8
2012,Сектор: Здравоохранение,99.6
2013,Сектор: Здравоохранение,97.3
2014,Сектор: Здравоохранение,96.2
2015,Сектор: Здравоохранение,98.4
2016,Сектор: Здравоохранение,89.8
2017,Сектор: Здравоохранение,124.3
2018,Сектор: Здравоохранение,105.4
2019,Сектор: Здравоохранение,95.9
2020,Сектор: Здравоохранение,103.7
2021,Сектор: Здравоохранение,154.4
2010,Сектор: Организация отдыха и культурно-религиозная деятельность,99.0
2011,Сектор: Организация отдыха и культурно-религиозная деятельность,97.8
2012,Сектор: Организация отдыха и культурно-религиозная деятельность,99.1
2013,Сектор: Организация отдыха и культурно-религиозная деятельность,98.8
2014,Сектор: Организация отдыха и культурно-религиозная деятельность,95.8
2015,Сектор: Организация отдыха и культурно-религиозная деятельность,97.8
2016,Сектор: Организация отдыха и культурно-религиозная деятельность,123.6
2017,Сектор: Организация отдыха и культурно-религиозная деятельность,172.2
2018,Сектор: Организация отдыха и культурно-религиозная деятельность,119.4
2019,Сектор: Организация отдыха и культурно-религиозная деятельность,105.3
2020,Сектор: Организация отдыха и культурно-религиозная деятельность,87.7
2021,Сектор: Организация отдыха и культурно-религиозная деятельность,110.3
2010,Сектор: Образование,98.6
2011,Сектор: Образование,98.8
2012,Сектор: Образование,99.5
2013,Сектор: Образование,96.8
2014,Сектор: Образование,99.5
2015,Сектор: Образование,97.3
2016,Сектор: Образование,83.7
2017,Сектор: Образование,112.8
2018,Сектор: Образование,106.4
2019,Сектор: Образование,104.1
2020,Сектор: Образование,97.1
2021,Сектор: Образование,100.9
2010,Сектор: Социальная защита,98.8
2011,Сектор: Социальная защита,98.7
2012,Сектор: Социальная защита,96.2
2013,Сектор: Социальная защита,97.8
2014,Сектор: Социальная защита,94.9
2015,Сектор: Социальная защита,98.4
2016,Сектор: Социальная защита,97.2
2017,Сектор: Социальная защита,90.5
2018,Сектор: Социальная защита,89.4
2019,Сектор: Социальная защита,83.2
2020,Сектор: Социальная защита,90.3
2021,Сектор: Социальная защита,102.4
