Year,concept.REF_AREA,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,concept.DISABILITY_STATUS,Value
2018,,от 15 до 49 лет ,,,,,7.7
2018,,от 15 до 49 лет ,Городское,,,,7.9
2018,,от 15 до 49 лет ,Сельское,,,,7.6
2018,Баткен,от 15 до 49 лет ,,,,,0.4
2018,Джалал-Абадская область,от 15 до 49 лет ,,,,,7.3
2018,Иссык-Кульская область,от 15 до 49 лет ,,,,,1.7
2018,Нарынская область,от 15 до 49 лет ,,,,,2.8
2018,Ошская область,от 15 до 49 лет ,,,,,6.5
2018,Таласская область,от 15 до 49 лет ,,,,,50.0
2018,Чуй,от 15 до 49 лет ,,,,,16.6
2018,Бишкек (город),от 15 до 49 лет ,,,,,8.7
2018,г. Ош,от 15 до 49 лет ,,,,,70.0
2018,,от 15 до 19 лет ,,,,,6.5
2018,,от 15 до 17 лет ,,,,,5.7
2018,,от 18 до 19 лет ,,,,,8.3
2018,,от 20 до 24 лет,,,,,9.1
2018,,от 25 до 29 лет,,,,,7.1
2018,,от 30 до 34 лет ,,,,,8.8
2018,,от 35 до 39 лет,,,,,8.7
2018,,от 40 до 44 лет ,,,,,6.4
2018,,от 45 до 49 лет ,,,,,70.0
2018,,от 15 до 49 лет ,,,Начальное образование,,140.0
2018,,от 15 до 49 лет ,,,Первый этап среднего образования,,59.0
2018,,от 15 до 49 лет ,,,Второй этап среднего образования,,69.0
2018,,от 15 до 49 лет ,,,Послесреднее нетретичное образование,,82.0
2018,,от 15 до 49 лет ,,,,Лица с инвалидностью,207.0
2018,,от 15 до 49 лет ,,,,Лица без инвалидности,76.0
2018,,от 15 до 49 лет ,,Квинтиль 1 (беднейшие),,,60.0
2018,,от 15 до 49 лет ,,Квинтиль 2,,,67.0
2018,,от 15 до 49 лет ,,Квинтиль 3,,,97.0
2018,,от 15 до 49 лет ,,Квинтиль 4,,,71.0
2018,,от 15 до 49 лет ,,Квинтиль 5 (богатейшие),,,88.0
