Year,Территория,Тип местности,Value
2010,,,5.343817
2011,,,4.545729
2012,,,4.39021
2013,,,2.752053
2014,,,1.204544
2015,,,1.2463
2016,,,0.799505
2017,,,0.751264
2018,,,0.556849
2019,,,0.549336
2010,,Городская,4.216863
2011,,Городская,2.571393
2012,,Городская,4.245304
2013,,Городская,1.622593
2014,,Городская,1.335253
2015,,Городская,1.0364
2016,,Городская,0.329939
2017,,Городская,0.317022
2018,,Городская,0.240359
2019,,Городская,0.1
2010,,Сельская,5.993092
2011,,Сельская,5.719532
2012,,Сельская,4.47404
2013,,Сельская,3.33877
2014,,Сельская,1.130705
2015,,Сельская,1.3613
2016,,Сельская,1.057232
2017,,Сельская,0.990494
2018,,Сельская,0.732878
2019,,Сельская,0.8
2010,Баткенская область,,5.18088
2011,Баткенская область,,3.571253
2012,Баткенская область,,2.429822
2013,Баткенская область,,7.992058
2014,Баткенская область,,2.647398
2015,Баткенская область,,4.007
2016,Баткенская область,,0.321124
2017,Баткенская область,,3.394136
2018,Баткенская область,,0.873006
2019,Баткенская область,,0.339267
2010,Джалал-Абадская область,,6.438032
2011,Джалал-Абадская область,,6.655419
2012,Джалал-Абадская область,,14.126083
2013,Джалал-Абадская область,,1.418157
2014,Джалал-Абадская область,,1.062056
2015,Джалал-Абадская область,,0.4774
2016,Джалал-Абадская область,,0.111076
2017,Джалал-Абадская область,,0.0
2018,Джалал-Абадская область,,1.011691
2019,Джалал-Абадская область,,0.56205
2010,Иссык-Кульская область,,2.478727
2011,Иссык-Кульская область,,1.507294
2012,Иссык-Кульская область,,0.131147
2013,Иссык-Кульская область,,1.90587
2014,Иссык-Кульская область,,0.0
2015,Иссык-Кульская область,,0.4111
2016,Иссык-Кульская область,,0.0
2017,Иссык-Кульская область,,1.036888
2018,Иссык-Кульская область,,0.892297
2019,Иссык-Кульская область,,1.260497
2010,Нарынская область,,12.036462
2011,Нарынская область,,14.690827
2012,Нарынская область,,2.457117
2013,Нарынская область,,4.860417
2014,Нарынская область,,1.817409
2015,Нарынская область,,2.0588
2016,Нарынская область,,2.566585
2017,Нарынская область,,1.953766
2018,Нарынская область,,2.178191
2019,Нарынская область,,2.481629
2010,Ошская область,,8.333149
2011,Ошская область,,3.687421
2012,Ошская область,,2.296706
2013,Ошская область,,4.01137
2014,Ошская область,,0.423402
2015,Ошская область,,1.1879
2016,Ошская область,,0.828248
2017,Ошская область,,0.0
2018,Ошская область,,0.0
2019,Ошская область,,0.880799
2010,Таласская область,,5.012294
2011,Таласская область,,8.439018
2012,Таласская область,,0.904811
2013,Таласская область,,0.0
2014,Таласская область,,0.0
2015,Таласская область,,0.0
2016,Таласская область,,0.0
2017,Таласская область,,0.0
2018,Таласская область,,0.0
2019,Таласская область,,0.0
2010,Чуйская область,,3.535313
2011,Чуйская область,,4.859951
2012,Чуйская область,,3.894563
2013,Чуйская область,,2.081097
2014,Чуйская область,,3.192789
2015,Чуйская область,,1.6887
2016,Чуйская область,,3.126337
2017,Чуйская область,,1.687071
2018,Чуйская область,,0.324149
2019,Чуйская область,,0.162602
2010,г. Бишкек,,0.530925
2011,г. Бишкек,,1.019328
2012,г. Бишкек,,1.168471
2013,г. Бишкек,,0.960053
2014,г. Бишкек,,0.0
2015,г. Бишкек,,0.7844
2016,г. Бишкек,,0.0
2017,г. Бишкек,,0.0
2018,г. Бишкек,,0.328121
2019,г. Бишкек,,0.0
2013,г. Ош,,3.507063
2014,г. Ош,,3.102029
2015,г. Ош,,1.7009
2016,г. Ош,,0.0
2017,г. Ош,,1.181299
2018,г. Ош,,0.556108
2019,г. Ош,,0.0
