Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Value
2018,,,,,,,8.3
2019,,,,,,,8.1
2020,,,,,,,7.6
2018,,Мужчины,,,,,17.7
2019,,Мужчины,,,,,17.2
2020,,Мужчины,,,,,16.0
2018,,Женщины,,,,,0.5
2019,,Женщины,,,,,0.4
2020,,Женщины,,,,,0.5
2018,,,,Городская,,,6.4
2019,,,,Городская,,,6.2
2020,,,,Городская,,,6.2
2018,,,,Сельская,,,9.5
2019,,,,Сельская,,,9.2
2020,,,,Сельская,,,8.5
2018,Баткенская область,,,,,,10.8
2019,Баткенская область,,,,,,10.9
2020,Баткенская область,,,,,,9.8
2018,Джалал-Абадская область,,,,,,3.4
2019,Джалал-Абадская область,,,,,,4.4
2020,Джалал-Абадская область,,,,,,2.8
2018,Иссык-Кульская область,,,,,,17.9
2019,Иссык-Кульская область,,,,,,17.0
2020,Иссык-Кульская область,,,,,,15.7
2018,Нарынская область,,,,,,14.7
2019,Нарынская область,,,,,,13.8
2020,Нарынская область,,,,,,14.2
2018,Ошская область,,,,,,6.7
2019,Ошская область,,,,,,6.0
2020,Ошская область,,,,,,6.2
2018,Таласская область,,,,,,13.0
2019,Таласская область,,,,,,13.7
2020,Таласская область,,,,,,13.5
2018,Чуйская область,,,,,,12.2
2019,Чуйская область,,,,,,10.5
2020,Чуйская область,,,,,,9.4
2018,г. Бишкек,,,,,,6.2
2019,г. Бишкек,,,,,,6.3
2020,г. Бишкек,,,,,,7.3
2018,г. Ош,,,,,,1.8
2019,г. Ош,,,,,,1.6
2020,г. Ош,,,,,,1.3
2018,,,от 15 до 24 лет ,,,,0.4
2019,,,от 15 до 24 лет ,,,,0.3
2020,,,от 15 до 24 лет ,,,,0.4
2018,,,,,,Начальное образование,2.8
2019,,,,,,Начальное образование,3.4
2020,,,,,,Начальное образование,2.8
2018,,,,,,Первый этап среднего образования,3.5
2019,,,,,,Первый этап среднего образования,2.9
2020,,,,,,Первый этап среднего образования,3.8
2018,,,,,,Второй этап среднего образования,9.8
2019,,,,,,Второй этап среднего образования,9.3
2020,,,,,,Второй этап среднего образования,8.8
2018,,,,,,Послесреднее нетретичное образование,11.7
2019,,,,,,Послесреднее нетретичное образование,11.8
2020,,,,,,Послесреднее нетретичное образование,10.8
2018,,,,,,Короткий цикл третичного образования,5.6
2019,,,,,,Короткий цикл третичного образования,5.5
2020,,,,,,Короткий цикл третичного образования,4.9
2018,,,,,Квинтиль 1 (беднейшие),,8.0
2019,,,,,Квинтиль 1 (беднейшие),,8.2
2020,,,,,Квинтиль 1 (беднейшие),,7.9
2018,,,,,Квинтиль 2,,7.4
2019,,,,,Квинтиль 2,,7.8
2020,,,,,Квинтиль 2,,6.9
2018,,,,,Квинтиль 3,,8.5
2019,,,,,Квинтиль 3,,7.7
2020,,,,,Квинтиль 3,,8.0
2018,,,,,Квинтиль 4,,8.5
2019,,,,,Квинтиль 4,,8.0
2020,,,,,Квинтиль 4,,7.2
2018,,,,,Квинтиль 5 (богатейшие),,9.6
2019,,,,,Квинтиль 5 (богатейшие),,8.8
2020,,,,,Квинтиль 5 (богатейшие),,8.1
