Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2018,,,,,,,,57.9
2019,,,,,,,,64.352075
2020,,,,,,,,66.8
2018,,,,Городская,,,,50.7
2019,,,,Городская,,,,59.596564
2020,,,,Городская,,,,61.4
2018,,,,Сельская,,,,62.8
2019,,,,Сельская,,,,67.506663
2020,,,,Сельская,,,,70.3
2018,,Мужчины,,,,,,67.4
2019,,Мужчины,,,,,,72.727756
2020,,Мужчины,,,,,,76.1
2018,,Женщины,,,,,,44.7
2019,,Женщины,,,,,,52.478851
2020,,Женщины,,,,,,54.0
2018,Баткенская область,,,,,,KG05,63.7
2019,Баткенская область,,,,,,KG05,71.63582
2020,Баткенская область,,,,,,KG05,65.3
2018,Джалал-Абадская область,,,,,,KG03,46.2
2019,Джалал-Абадская область,,,,,,KG03,54.214346
2020,Джалал-Абадская область,,,,,,KG03,48.1
2018,Иссык-Кульская область,,,,,,KG02,69.3
2019,Иссык-Кульская область,,,,,,KG02,72.71323
2020,Иссык-Кульская область,,,,,,KG02,70.7
2018,Нарынская область,,,,,,KG04,71.9
2019,Нарынская область,,,,,,KG04,78.330797
2020,Нарынская область,,,,,,KG04,78.3
2018,Ошская область,,,,,,KG06,70.4
2019,Ошская область,,,,,,KG06,73.833054
2020,Ошская область,,,,,,KG06,88.8
2018,Таласская область,,,,,,KG07,73.3
2019,Таласская область,,,,,,KG07,88.247575
2020,Таласская область,,,,,,KG07,92.9
2018,Чуйская область,,,,,,KG08,69.3
2019,Чуйская область,,,,,,KG08,65.741182
2020,Чуйская область,,,,,,KG08,71.4
2018,г. Бишкек,,,,,,KG11,31.2
2019,г. Бишкек,,,,,,KG11,45.046976
2020,г. Бишкек,,,,,,KG11,47.4
2018,г. Ош,,,,,,KG21,86.7
2019,г. Ош,,,,,,KG21,98.677796
2020,г. Ош,,,,,,KG21,99.4
2018,,,от 15 до 28 лет,,,,,56.6
2019,,,от 15 до 28 лет,,,,,61.760682
2020,,,от 15 до 28 лет,,,,,64.1
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,59.4
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,66.203849
2020,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,68.7
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,54.1
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,61.942673
2020,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,64.5
2018,,,,,,Начальное образование,,58.8
2019,,,,,,Начальное образование,,63.721132
2020,,,,,,Начальное образование,,69.8
2018,,,,,,Первый этап среднего образования,,63.3
2019,,,,,,Первый этап среднего образования,,65.183411
2020,,,,,,Первый этап среднего образования,,67.5
2018,,,,,,Второй этап среднего образования,,57.7
2019,,,,,,Второй этап среднего образования,,62.824591
2020,,,,,,Второй этап среднего образования,,64.1
2018,,,,,,Послесреднее нетретичное образование,,59.7
2019,,,,,,Послесреднее нетретичное образование,,68.13387
2020,,,,,,Послесреднее нетретичное образование,,70.8
2018,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,53.7
2019,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,64.482244
2020,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,69.3
2018,,,,,Квинтиль 1 (беднейшие),,,52.386927
2019,,,,,Квинтиль 1 (беднейшие),,,55.414275
2020,,,,,Квинтиль 1 (беднейшие),,,58.2
2018,,,,,Квинтиль 2,,,58.140586
2019,,,,,Квинтиль 2,,,63.171549
2020,,,,,Квинтиль 2,,,69.7
2018,,,,,Квинтиль 3,,,57.911249
2019,,,,,Квинтиль 3,,,65.795777
2020,,,,,Квинтиль 3,,,71.5
2018,,,,,Квинтиль 4,,,60.870536
2019,,,,,Квинтиль 4,,,69.928679
2020,,,,,Квинтиль 4,,,68.3
2018,,,,,Квинтиль 5 (богатейшие),,,59.232205
2019,,,,,Квинтиль 5 (богатейшие),,,65.727946
2020,,,,,Квинтиль 5 (богатейшие),,,67.8
