Year,Территория,Тип местности,Value
2011,,,92.354935
2012,,,93.23105100000001
2013,,,89.6
2014,,,88.94600600000001
2015,,,89.13614
2016,,,89.949401
2017,,,91.106719
2018,,,91.811084
2014,,Городское,99.1
2015,,Городское,99.1
2016,,Городское,99.3
2017,,Городское,93.9
2018,,Городское,99.3
2014,,Сельское,83.3
2015,,Сельское,83.7
2016,,Сельское,84.9
2017,,Сельское,86.7
2018,,Сельское,87.8
2014,Баткен,,74.3
2015,Баткен,,73.3
2016,Баткен,,74.1
2017,Баткен,,79.0
2018,Баткен,,83.6
2014,Джалал-Абадская область,,89.5
2015,Джалал-Абадская область,,87.7
2016,Джалал-Абадская область,,87.3
2017,Джалал-Абадская область,,91.2
2018,Джалал-Абадская область,,86.4
2014,Иссык-Кульская область,,96.8
2015,Иссык-Кульская область,,96.4
2016,Иссык-Кульская область,,97.3
2017,Иссык-Кульская область,,97.0
2018,Иссык-Кульская область,,96.0
2014,Нарынская область,,84.4
2015,Нарынская область,,90.3
2016,Нарынская область,,95.9
2017,Нарынская область,,95.8
2018,Нарынская область,,96.3
2014,Ошская область,,72.9
2015,Ошская область,,74.5
2016,Ошская область,,76.4
2017,Ошская область,,77.3
2018,Ошская область,,83.2
2014,Таласская область,,99.7
2015,Таласская область,,99.2
2016,Таласская область,,100.0
2017,Таласская область,,99.4
2018,Таласская область,,99.4
2014,Чуй,,100.0
2015,Чуй,,100.0
2016,Чуй,,100.0
2017,Чуй,,100.0
2018,Чуй,,100.0
2014,Бишкек (город),,99.8
2015,Бишкек (город),,100.0
2016,Бишкек (город),,100.0
2017,Бишкек (город),,100.0
2018,Бишкек (город),,100.0
2014,г. Ош,,96.5
2015,г. Ош,,96.7
2016,г. Ош,,100.0
2017,г. Ош,,95.7
2018,г. Ош,,96.5
