Year,concept.ACTIVITY,Units,Value
2014,,CL_UNIT_MEASURE.TH_KWH_MN_KGS,36.9
2015,,CL_UNIT_MEASURE.TH_KWH_MN_KGS,31.5
2016,,CL_UNIT_MEASURE.TH_KWH_MN_KGS,27.9
2017,,CL_UNIT_MEASURE.TH_KWH_MN_KGS,26.9
2014,"Сельское хозяйство, лесоводство и рыболовство",CL_UNIT_MEASURE.TH_KWH_MN_KGS,12.9
2015,"Сельское хозяйство, лесоводство и рыболовство",CL_UNIT_MEASURE.TH_KWH_MN_KGS,16.1
2016,"Сельское хозяйство, лесоводство и рыболовство",CL_UNIT_MEASURE.TH_KWH_MN_KGS,15.8
2017,"Сельское хозяйство, лесоводство и рыболовство",CL_UNIT_MEASURE.TH_KWH_MN_KGS,16.3
2014,Обрабатывающая промышленность,CL_UNIT_MEASURE.TH_KWH_MN_KGS,43.0
2015,Обрабатывающая промышленность,CL_UNIT_MEASURE.TH_KWH_MN_KGS,31.8
2016,Обрабатывающая промышленность,CL_UNIT_MEASURE.TH_KWH_MN_KGS,26.3
2017,Обрабатывающая промышленность,CL_UNIT_MEASURE.TH_KWH_MN_KGS,25.0
2014,,CL_UNIT_MEASURE.KWH,130.9
2015,,CL_UNIT_MEASURE.KWH,207.6
2016,,CL_UNIT_MEASURE.KWH,248.3
2017,,CL_UNIT_MEASURE.KWH,263.5
