Year,Множитель,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,Миллионы,Объем пассажирских перевозок (пассажиро-километры),,Число,8122.4
2014,Миллионы,Объем пассажирских перевозок (пассажиро-километры),,Число,10776.8
2015,Миллионы,Объем пассажирских перевозок (пассажиро-километры),,Число,11012.5
2016,Миллионы,Объем пассажирских перевозок (пассажиро-километры),,Число,11333.6
2017,Миллионы,Объем пассажирских перевозок (пассажиро-километры),,Число,12279.3
2018,Миллионы,Объем пассажирских перевозок (пассажиро-километры),,Число,12516.2
2019,Миллионы,Объем пассажирских перевозок (пассажиро-километры),,Число,13135.1
2020,Миллионы,Объем пассажирских перевозок (пассажиро-километры),,Число,7381.8
2010,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Железнодорожный,Число,98.7
2014,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Железнодорожный,Число,42.9
2015,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Железнодорожный,Число,40.8
2016,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Железнодорожный,Число,40.8
2017,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Железнодорожный,Число,43.4
2018,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Железнодорожный,Число,35.0
2019,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Железнодорожный,Число,37.1
2020,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Железнодорожный,Число,6.8
2010,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Автобус,Число,6810.0
2014,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Автобус,Число,8000.0
2015,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Автобус,Число,8410.4
2016,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Автобус,Число,8839.3
2017,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Автобус,Число,8931.5
2018,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Автобус,Число,9305.6
2019,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Автобус,Число,10490.2
2020,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Автобус,Число,6035.6
2010,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Троллейбус,Число,100.9
2014,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Троллейбус,Число,82.5
2015,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Троллейбус,Число,95.6
2016,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Троллейбус,Число,106.1
2017,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Троллейбус,Число,120.1
2018,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Троллейбус,Число,137.1
2019,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Троллейбус,Число,148.8
2020,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Троллейбус,Число,89.5
2010,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Такси,Число,298.6
2014,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Такси,Число,471.4
2015,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Такси,Число,499.6
2016,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Такси,Число,546.0
2017,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Такси,Число,569.1
2018,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Такси,Число,642.4
2019,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Такси,Число,752.0
2020,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Такси,Число,712.2
2010,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,814.2
2014,Миллионы,Объем пассажирских перевозок (пассажиро-километры),Вид транспорта: Воздушный,Число,2180.0
