Year,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Value
2015,"Медианное значение, сомов в месяц на душу населения",,,,,,3390.2
2016,"Медианное значение, сомов в месяц на душу населения",,,,,,3572.5
2017,"Медианное значение, сомов в месяц на душу населения",,,,,,3991.9
2018,"Медианное значение, сомов в месяц на душу населения",,,,,,4466.4
2019,"Медианное значение, сомов в месяц на душу населения",,,,,,4774.2
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,,Нижние 50%,12.0
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,,Нижние 50%,11.6
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,,Нижние 50%,11.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,,Нижние 50%,11.9
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,,Нижние 50%,11.1
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Городская,Нижние 50%,8.2
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Городская,Нижние 50%,8.5
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Городская,Нижние 50%,7.9
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Городская,Нижние 50%,8.1
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Городская,Нижние 50%,8.7
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Сельская,Нижние 50%,14.1
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Сельская,Нижние 50%,13.3
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Сельская,Нижние 50%,12.7
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Сельская,Нижние 50%,14.0
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,,,Сельская,Нижние 50%,12.5
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,Женщины,,,Нижние 50%,11.7
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,Женщины,,,Нижние 50%,11.4
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,Женщины,,,Нижние 50%,10.9
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,Женщины,,,Нижние 50%,11.8
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,Женщины,,,Нижние 50%,11.0
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,Мужчины,,,Нижние 50%,12.3
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,Мужчины,,,Нижние 50%,11.9
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,Мужчины,,,Нижние 50%,11.2
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,Мужчины,,,Нижние 50%,12.0
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,Мужчины,,,Нижние 50%,11.2
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,,до 17 лет,,Нижние 50%,19.5
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,,до 17 лет,,Нижние 50%,17.6
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,,до 17 лет,,Нижние 50%,17.4
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,,до 17 лет,,Нижние 50%,18.5
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,,до 17 лет,,Нижние 50%,17.6
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,,от 14 до 28 лет ,,Нижние 50%,12.1
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,,от 14 до 28 лет ,,Нижние 50%,12.5
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,,от 14 до 28 лет ,,Нижние 50%,11.4
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,,от 14 до 28 лет ,,Нижние 50%,13.5
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,,от 14 до 28 лет ,,Нижние 50%,10.7
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"от 16 до 62 лет (население трудоспособного возраста: женщины 16-57 лет, мужчины 16-62 лет)",,Нижние 50%,12.3
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"от 16 до 62 лет (население трудоспособного возраста: женщины 16-57 лет, мужчины 16-62 лет)",,Нижние 50%,12.6
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"от 16 до 62 лет (население трудоспособного возраста: женщины 16-57 лет, мужчины 16-62 лет)",,Нижние 50%,11.7
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"от 16 до 62 лет (население трудоспособного возраста: женщины 16-57 лет, мужчины 16-62 лет)",,Нижние 50%,12.2
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"от 16 до 62 лет (население трудоспособного возраста: женщины 16-57 лет, мужчины 16-62 лет)",,Нижние 50%,11.0
2015,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,7.8
2016,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,7.8
2017,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,7.5
2018,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,8.4
2019,Доля людей с доходом ниже 50 процентов медианного дохода ,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,8.8
