Year,Пол,Возраст,Тип местности,Вид экономической деятельности,Value
2015,,,,,22.971916
2016,,,,,18.3
2017,,,,,18.0
2018,,,,,15.5
2019,,,,,13.2
2020,,,,,17.2
2021,,,,,24.7
2015,Мужчины,,,,24.625381
2016,Мужчины,,,,19.7
2017,Мужчины,,,,20.0
2018,Мужчины,,,,16.6
2019,Мужчины,,,,14.9
2020,Мужчины,,,,18.7
2021,Мужчины,,,,26.3
2015,Женщины,,,,20.568799
2016,Женщины,,,,16.0
2017,Женщины,,,,14.8
2018,Женщины,,,,13.6
2019,Женщины,,,,10.5
2020,Женщины,,,,14.9
2021,Женщины,,,,22.0
2015,,от 15 до 19 лет,,,23.727492
2016,,от 15 до 19 лет,,,18.981762
2017,,от 15 до 19 лет,,,14.748617
2018,,от 15 до 19 лет,,,12.569312
2019,,от 15 до 19 лет,,,6.6
2020,,от 15 до 19 лет,,,11.4
2021,,от 15 до 19 лет,,,18.0
2015,,от 20 до 24 лет,,,19.900404
2016,,от 20 до 24 лет,,,18.030501
2017,,от 20 до 24 лет,,,13.948053
2018,,от 20 до 24 лет,,,10.713886
2019,,от 20 до 24 лет,,,8.1
2020,,от 20 до 24 лет,,,8.9
2021,,от 20 до 24 лет,,,17.2
2015,,от 25 до 29 лет,,,20.936837
2016,,от 25 до 29 лет,,,17.480642
2017,,от 25 до 29 лет,,,18.451453
2018,,от 25 до 29 лет,,,15.81122
2019,,от 25 до 29 лет,,,11.1
2020,,от 25 до 29 лет,,,15.3
2021,,от 25 до 29 лет,,,23.2
2015,,от 30 до 34 лет,,,31.941974
2016,,от 30 до 34 лет,,,22.514499
2017,,от 30 до 34 лет,,,22.859646
2018,,от 30 до 34 лет,,,18.364477
2019,,от 30 до 34 лет,,,17.1
2020,,от 30 до 34 лет,,,22.1
2021,,от 30 до 34 лет,,,29.1
2015,,от 35 до 39 лет,,,33.358438
2016,,от 35 до 39 лет,,,27.556783
2017,,от 35 до 39 лет,,,26.449237
2018,,от 35 до 39 лет,,,23.421118
2019,,от 35 до 39 лет,,,25.0
2020,,от 35 до 39 лет,,,27.5
2021,,от 35 до 39 лет,,,34.2
2015,,от 40 до 44 лет,,,27.540969
2016,,от 40 до 44 лет,,,20.070139
2017,,от 40 до 44 лет,,,21.848723
