Year,Территория,Value
2007,,0.102468
2008,,0.657422
2009,,0.037073
2010,,0.234561
2011,,0.328649
2012,,0.297902
2013,,0.062089
2014,,0.113728
2015,,0.532092
2016,,0.21124
2017,,0.193675
2018,,0.21
2007,Баткенская область,0.358951
2008,Баткенская область,2.126272
2009,Баткенская область,0.403899
2010,Баткенская область,0.333138
2011,Баткенская область,4.307812
2012,Баткенская область,1.956574
2013,Баткенская область,0.02969
2014,Баткенская область,0.25113
2015,Баткенская область,3.438047
2016,Баткенская область,2.2105
2017,Баткенская область,0.753563
2018,Баткенская область,1.04
2007,Джалал-Абадская область,0.412118
2008,Джалал-Абадская область,0.136994
2009,Джалал-Абадская область,0.015857
2010,Джалал-Абадская область,1.154719
2011,Джалал-Абадская область,0.453264
2012,Джалал-Абадская область,1.016425
2013,Джалал-Абадская область,0.101309
2014,Джалал-Абадская область,0.072479
2015,Джалал-Абадская область,0.172868
2016,Джалал-Абадская область,0.441517
2017,Джалал-Абадская область,0.196222
2018,Джалал-Абадская область,0.11
2007,Иссык-Кульская область,0.003239
2008,Иссык-Кульская область,0.003293
2009,Иссык-Кульская область,0.034457
2010,Иссык-Кульская область,0.001692
2011,Иссык-Кульская область,0.012271
2012,Иссык-Кульская область,0.112102
2013,Иссык-Кульская область,0.148306
2014,Иссык-Кульская область,0.685858
2015,Иссык-Кульская область,0.015296
2016,Иссык-Кульская область,0.169567
2017,Иссык-Кульская область,0.130728
2018,Иссык-Кульская область,0.11
2007,Нарынская область,0.009569
2008,Нарынская область,0.035207
2009,Нарынская область,0.008456
2010,Нарынская область,1.65095
2011,Нарынская область,1.592461
2012,Нарынская область,1.562362
2013,Нарынская область,0.741692
2014,Нарынская область,0.037976
2015,Нарынская область,0.214395
2016,Нарынская область,0.157299
2017,Нарынская область,0.091702
2018,Нарынская область,0.01
2007,Ошская область,0.042933
2008,Ошская область,5.639406
2009,Ошская область,0.057255
2010,Ошская область,0.198522
2011,Ошская область,0.369869
2012,Ошская область,0.17834
2013,Ошская область,0.010609
2014,Ошская область,0.00357
2015,Ошская область,4.302561
2016,Ошская область,0.049422
2017,Ошская область,0.702855
2018,Ошская область,0.03
2007,Таласская область,0.210978
2008,Таласская область,0.051951
2009,Таласская область,0.405354
2010,Таласская область,0.29974
2011,Таласская область,0.045177
2012,Таласская область,0.518047
2013,Таласская область,0.05949
2014,Таласская область,0.008098
2015,Таласская область,0.061365
2016,Таласская область,0.517318
2017,Таласская область,0.092032
2018,Таласская область,0.0
2007,Чуйская область,0.035582
2010,Чуйская область,0.005701
2011,Чуйская область,0.01326
2012,Чуйская область,0.004035
2013,Чуйская область,0.029168
2014,Чуйская область,0.033948
2015,Чуйская область,0.033197
2016,Чуйская область,0.118862
2017,Чуйская область,0.234678
2018,Чуйская область,0.01
2007,г. Бишкек,0.063779
2008,г. Бишкек,0.060758
2013,г. Бишкек,0.00051
2015,г. Бишкек,0.028178
2016,г. Бишкек,0.047988
2017,г. Бишкек,0.006461
2018,г. Бишкек,0.37
2007,г. Ош,0.01574
2008,г. Ош,0.003371
2012,г. Ош,0.006958
2013,г. Ош,0.034602
2015,г. Ош,0.61872
2016,г. Ош,0.001192
2017,г. Ош,0.202023
