Year,concept.REF_AREA,concept.SEX,Value
2010,,,53.8
2013,,,31.2
2014,,,27.4
2015,,,23.5
2016,,,28.4
2017,,,23.0
2010,,Женщины,13.1
2013,,Женщины,7.4
2014,,Женщины,5.7
2015,,Женщины,5.6
2016,,Женщины,6.4
2017,,Женщины,6.8
2010,,Мужчины,95.6
2013,,Мужчины,55.6
2014,,Мужчины,49.5
2015,,Мужчины,41.8
2016,,Мужчины,50.8
2017,,Мужчины,39.5
2010,Баткен,,27.4
2013,Баткен,,27.4
2014,Баткен,,22.1
2015,Баткен,,14.0
2016,Баткен,,15.9
2017,Баткен,,12.2
2010,Баткен,Женщины,1.9
2013,Баткен,Женщины,0.4
2014,Баткен,Женщины,0.4
2015,Баткен,Женщины,0.8
2016,Баткен,Женщины,0.4
2017,Баткен,Женщины,0.8
2010,Баткен,Мужчины,52.2
2013,Баткен,Мужчины,53.4
2014,Баткен,Мужчины,43.1
2015,Баткен,Мужчины,26.7
2016,Баткен,Мужчины,30.8
2017,Баткен,Мужчины,23.2
2010,Джалал-Абадская область,,17.2
2013,Джалал-Абадская область,,14.2
2014,Джалал-Абадская область,,14.3
2015,Джалал-Абадская область,,10.7
2016,Джалал-Абадская область,,10.0
2017,Джалал-Абадская область,,9.5
2010,Джалал-Абадская область,Женщины,1.2
2013,Джалал-Абадская область,Женщины,0.9
2014,Джалал-Абадская область,Женщины,1.4
2015,Джалал-Абадская область,Женщины,1.4
2016,Джалал-Абадская область,Женщины,1.2
2017,Джалал-Абадская область,Женщины,1.7
2010,Джалал-Абадская область,Мужчины,33.2
2013,Джалал-Абадская область,Мужчины,27.3
2014,Джалал-Абадская область,Мужчины,27.1
2015,Джалал-Абадская область,Мужчины,19.8
2016,Джалал-Абадская область,Мужчины,18.7
2017,Джалал-Абадская область,Мужчины,17.2
2010,Иссык-Кульская область,,19.0
2013,Иссык-Кульская область,,21.5
2014,Иссык-Кульская область,,14.3
2015,Иссык-Кульская область,,17.6
2016,Иссык-Кульская область,,16.5
2017,Иссык-Кульская область,,13.3
2010,Иссык-Кульская область,Женщины,3.1
2013,Иссык-Кульская область,Женщины,3.0
2014,Иссык-Кульская область,Женщины,3.9
2015,Иссык-Кульская область,Женщины,8.5
2016,Иссык-Кульская область,Женщины,1.7
2017,Иссык-Кульская область,Женщины,2.9
2010,Иссык-Кульская область,Мужчины,35.1
2013,Иссык-Кульская область,Мужчины,40.2
2014,Иссык-Кульская область,Мужчины,24.9
2015,Иссык-Кульская область,Мужчины,26.7
2016,Иссык-Кульская область,Мужчины,31.4
2017,Иссык-Кульская область,Мужчины,23.9
2010,Нарынская область,,31.1
2013,Нарынская область,,37.4
2014,Нарынская область,,43.6
2015,Нарынская область,,20.3
2016,Нарынская область,,36.5
2017,Нарынская область,,23.0
2010,Нарынская область,Женщины,5.4
2013,Нарынская область,Женщины,7.5
2014,Нарынская область,Женщины,11.2
2015,Нарынская область,Женщины,5.1
2016,Нарынская область,Женщины,13.8
2017,Нарынская область,Женщины,9.4
2010,Нарынская область,Мужчины,56.0
2013,Нарынская область,Мужчины,66.5
2014,Нарынская область,Мужчины,75.1
2015,Нарынская область,Мужчины,35.0
2016,Нарынская область,Мужчины,58.5
2017,Нарынская область,Мужчины,36.2
2010,Ошская область,,35.0
2013,Ошская область,,27.2
2014,Ошская область,,24.7
2015,Ошская область,,29.3
2016,Ошская область,,25.1
2017,Ошская область,,26.2
2010,Ошская область,Женщины,2.9
2013,Ошская область,Женщины,3.4
2014,Ошская область,Женщины,1.3
2015,Ошская область,Женщины,2.9
2016,Ошская область,Женщины,3.6
2017,Ошская область,Женщины,4.2
2010,Ошская область,Мужчины,66.7
2013,Ошская область,Мужчины,50.7
2014,Ошская область,Мужчины,47.7
2015,Ошская область,Мужчины,55.2
2016,Ошская область,Мужчины,46.2
2017,Ошская область,Мужчины,47.8
2010,Таласская область,,43.0
2013,Таласская область,,40.2
2014,Таласская область,,41.6
2015,Таласская область,,18.9
2016,Таласская область,,24.5
2017,Таласская область,,40.1
2010,Таласская область,Женщины,2.6
2013,Таласская область,Женщины,5.0
2014,Таласская область,Женщины,7.4
2015,Таласская область,Женщины,4.0
2016,Таласская область,Женщины,8.0
2017,Таласская область,Женщины,7.1
2010,Таласская область,Мужчины,83.1
2013,Таласская область,Мужчины,74.9
2014,Таласская область,Мужчины,75.2
2015,Таласская область,Мужчины,33.4
2016,Таласская область,Мужчины,40.7
2017,Таласская область,Мужчины,72.4
2010,Чуй,,60.6
2013,Чуй,,51.1
2014,Чуй,,36.0
2015,Чуй,,30.0
2016,Чуй,,50.5
2017,Чуй,,32.8
2010,Чуй,Женщины,20.1
2013,Чуй,Женщины,16.1
2014,Чуй,Женщины,10.5
2015,Чуй,Женщины,10.5
2016,Чуй,Женщины,16.3
2017,Чуй,Женщины,12.1
2010,Чуй,Мужчины,102.6
2013,Чуй,Мужчины,87.2
2014,Чуй,Мужчины,62.2
2015,Чуй,Мужчины,50.1
2016,Чуй,Мужчины,85.9
2017,Чуй,Мужчины,54.3
2010,Бишкек (город),,164.9
2013,Бишкек (город),,44.7
2014,Бишкек (город),,40.7
2015,Бишкек (город),,36.4
2016,Бишкек (город),,48.6
2017,Бишкек (город),,35.1
2010,Бишкек (город),Женщины,50.1
2013,Бишкек (город),Женщины,19.0
2014,Бишкек (город),Женщины,13.1
2015,Бишкек (город),Женщины,11.1
2016,Бишкек (город),Женщины,10.8
2017,Бишкек (город),Женщины,16.5
2010,Бишкек (город),Мужчины,297.5
2013,Бишкек (город),Мужчины,74.3
2014,Бишкек (город),Мужчины,72.3
2015,Бишкек (город),Мужчины,65.3
2016,Бишкек (город),Мужчины,91.6
2017,Бишкек (город),Мужчины,56.3
2010,г. Ош,,29.9
2013,г. Ош,,18.3
2014,г. Ош,,22.0
2015,г. Ош,,19.8
2016,г. Ош,,16.9
2017,г. Ош,,11.6
2010,г. Ош,Женщины,4.5
2013,г. Ош,Женщины,2.9
2014,г. Ош,Женщины,5.8
2015,г. Ош,Женщины,2.8
2016,г. Ош,Женщины,2.1
2017,г. Ош,Женщины,2.0
2010,г. Ош,Мужчины,57.5
2013,г. Ош,Мужчины,34.8
2014,г. Ош,Мужчины,39.6
2015,г. Ош,Мужчины,38.0
2016,г. Ош,Мужчины,32.7
2017,г. Ош,Мужчины,21.8
