Year,Территория,Пол,Возраст,Тип местности,GeoCode,Value
2016,,,,,,50.2
2017,,,,,,50.5
2018,,,,,,45.8
2019,,,,,,42.3
2020,,,,,,42.2
2016,,Мужчины,,,,50.3
2017,,Мужчины,,,,50.3
2018,,Мужчины,,,,45.8
2019,,Мужчины,,,,42.7
2020,,Мужчины,,,,42.5
2016,,Женщины,,,,50.1
2017,,Женщины,,,,50.6
2018,,Женщины,,,,45.9
2019,,Женщины,,,,41.9
2020,,Женщины,,,,42.0
2016,,,до 18 лет,,,59.7
2017,,,до 18 лет,,,60.0
2018,,,до 18 лет,,,56.0
2019,,,до 18 лет,,,52.0
2020,,,до 18 лет,,,50.9
2016,,,от 18 до 64 лет,,,43.7
2017,,,от 18 до 64 лет,,,44.1
2018,,,от 18 до 64 лет,,,39.3
2019,,,от 18 до 64 лет,,,35.9
2020,,,от 18 до 64 лет,,,36.9
2016,,,65 лет и старше,,,49.2
2017,,,65 лет и старше,,,46.4
2018,,,65 лет и старше,,,38.6
2019,,,65 лет и старше,,,37.0
2020,,,65 лет и старше,,,34.8
2016,,,,Городская,,36.9
2017,,,,Городская,,38.7
2018,,,,Городская,,33.8
2019,,,,Городская,,31.1
2020,,,,Городская,,30.7
2016,,,,Сельская,,57.4
2017,,,,Сельская,,56.8
2018,,,,Сельская,,52.4
2019,,,,Сельская,,48.5
2020,,,,Сельская,,48.8
2016,Баткенская область,,,,KG05,64.9
2017,Баткенская область,,,,KG05,66.0
2018,Баткенская область,,,,KG05,64.8
2019,Баткенская область,,,,KG05,63.5
2020,Баткенская область,,,,KG05,61.1
2016,Джалал-Абадская область,,,,KG03,59.6
2017,Джалал-Абадская область,,,,KG03,61.5
2018,Джалал-Абадская область,,,,KG03,53.8
2019,Джалал-Абадская область,,,,KG03,50.4
2020,Джалал-Абадская область,,,,KG03,56.7
2016,Иссык-Кульская область,,,,KG02,45.2
2017,Иссык-Кульская область,,,,KG02,47.0
2018,Иссык-Кульская область,,,,KG02,42.7
2019,Иссык-Кульская область,,,,KG02,46.3
2020,Иссык-Кульская область,,,,KG02,41.6
2016,Нарынская область,,,,KG04,58.3
2017,Нарынская область,,,,KG04,50.0
2018,Нарынская область,,,,KG04,48.5
2019,Нарынская область,,,,KG04,47.8
2020,Нарынская область,,,,KG04,49.0
2016,Ошская область,,,,KG06,57.5
2017,Ошская область,,,,KG06,52.1
2018,Ошская область,,,,KG06,58.5
2019,Ошская область,,,,KG06,45.8
2020,Ошская область,,,,KG06,43.5
2016,Таласская область,,,,KG07,49.8
2017,Таласская область,,,,KG07,39.8
2018,Таласская область,,,,KG07,43.0
2019,Таласская область,,,,KG07,40.2
2020,Таласская область,,,,KG07,33.9
2016,Чуйская область,,,,KG08,45.4
2017,Чуйская область,,,,KG08,48.7
2018,Чуйская область,,,,KG08,28.0
2019,Чуйская область,,,,KG08,31.7
2020,Чуйская область,,,,KG08,34.6
2016,г. Бишкек,,,,KG11,26.8
2017,г. Бишкек,,,,KG11,29.9
2018,г. Бишкек,,,,KG11,25.4
2019,г. Бишкек,,,,KG11,22.2
2020,г. Бишкек,,,,KG11,23.6
2016,г. Ош,,,,KG21,47.3
2017,г. Ош,,,,KG21,58.6
2018,г. Ош,,,,KG21,51.3
2019,г. Ош,,,,KG21,45.9
2020,г. Ош,,,,KG21,35.9
