Year,concept.REF_AREA,Value
2007,,145.4
2008,,1235.9
2009,,74.6
2010,,516.9
2011,,939.9
2012,,924.9
2013,,220.6
2014,,455.7
2015,,2290.6
2016,,1006.2
2017,,1027.4
2018,,1214.6
2007,code.KG05,17.8
2008,code.KG05,130.4
2009,code.KG05,25.4
2010,code.KG05,26.2
2011,code.KG05,551.4
2012,code.KG05,267.9
2013,code.KG05,4.5
2014,code.KG05,41.6
2015,code.KG05,588.8
2016,code.KG05,376.3
2017,code.KG05,135.0
2018,code.KG05,189.8
2007,code.KG03,66.7
2008,code.KG03,31.0
2009,code.KG03,3.7
2010,code.KG03,305.9
2011,code.KG03,148.6
2012,code.KG03,375.2
2013,code.KG03,38.0
2014,code.KG03,31.2
2015,code.KG03,85.1
2016,code.KG03,232.3
2017,code.KG03,120.1
2018,code.KG03,72.9
2007,code.KG02,0.5
2008,code.KG02,0.7
2009,code.KG02,9.5
2010,code.KG02,0.6
2011,code.KG02,5.3
2012,code.KG02,40.4
2013,code.KG02,75.2
2014,code.KG02,356.3
2015,code.KG02,7.7
2016,code.KG02,102.7
2017,code.KG02,84.2
2018,code.KG02,74.2
2007,code.KG04,0.6
2008,code.KG04,2.8
2009,code.KG04,0.6
2010,code.KG04,120.1
2011,code.KG04,121.0
2012,code.KG04,141.3
2013,code.KG04,72.2
2014,code.KG04,4.3
2015,code.KG04,27.8
2016,code.KG04,22.3
2017,code.KG04,12.8
2018,code.KG04,1.4
2007,code.KG06,6.3
2008,code.KG06,1024.9
2009,code.KG06,10.9
2010,code.KG06,40.5
2011,code.KG06,105.0
2012,code.KG06,48.1
2013,code.KG06,2.9
2014,code.KG06,1.1
2015,code.KG06,1364.2
2016,code.KG06,16.2
2017,code.KG06,261.8
2018,code.KG06,12.4
2007,code.KG07,12.3
2008,code.KG07,4.4
2009,code.KG07,24.5
2010,code.KG07,22.0
2011,code.KG07,3.0
2012,code.KG07,49.0
2013,code.KG07,6.6
2014,code.KG07,1.1
2015,code.KG07,8.9
2016,code.KG07,76.1
2017,code.KG07,14.7
2018,code.KG07,0.7
2007,code.KG08,8.4
2010,code.KG08,1.7
2011,code.KG08,5.6
2012,code.KG08,1.7
2013,code.KG08,14.1
2014,code.KG08,20.0
2015,code.KG08,24.4
2016,code.KG08,93.2
2017,code.KG08,207.5
2018,code.KG08,6.1
2007,code.KG11,32.2
2008,code.KG11,41.5
2013,code.KG11,0.7
2015,code.KG11,44.7
2016,code.KG11,86.8
2017,code.KG11,129.8
2018,code.KG11,856.9
2007,code.KG21,0.7
2008,code.KG21,0.2
2012,code.KG21,1.1
2013,code.KG21,6.3
2015,code.KG21,139.1
2016,code.KG21,0.3
2017,code.KG21,61.5
