Year,concept.REF_AREA,Value
2007,,0.102468
2008,,0.6574220000000001
2009,,0.037073
2010,,0.23456100000000002
2011,,0.32864899999999997
2012,,0.297902
2013,,0.062089
2014,,0.113728
2015,,0.532092
2016,,0.21124
2017,,0.193675
2018,,0.21801700000000002
2007,code.KG05,0.358951
2008,code.KG05,2.126272
2009,code.KG05,0.40389899999999995
2010,code.KG05,0.333138
2011,code.KG05,4.307812
2012,code.KG05,1.9565740000000003
2013,code.KG05,0.029689999999999998
2014,code.KG05,0.25113
2015,code.KG05,3.438047
2016,code.KG05,2.2105
2017,code.KG05,0.753563
2018,code.KG05,1.04
2007,code.KG03,0.41211800000000004
2008,code.KG03,0.136994
2009,code.KG03,0.015857
2010,code.KG03,1.154719
2011,code.KG03,0.45326400000000006
2012,code.KG03,1.016425
2013,code.KG03,0.101309
2014,code.KG03,0.072479
2015,code.KG03,0.172868
2016,code.KG03,0.441517
2017,code.KG03,0.196222
2018,code.KG03,0.11
2007,code.KG02,0.003239
2008,code.KG02,0.003293
2009,code.KG02,0.034457
2010,code.KG02,0.0016920000000000001
2011,code.KG02,0.012270999999999999
2012,code.KG02,0.112102
2013,code.KG02,0.148306
2014,code.KG02,0.685858
2015,code.KG02,0.015296
2016,code.KG02,0.169567
2017,code.KG02,0.130728
2018,code.KG02,0.11
2007,code.KG04,0.009569
2008,code.KG04,0.035207
2009,code.KG04,0.008456
2010,code.KG04,1.65095
2011,code.KG04,1.5924610000000001
2012,code.KG04,1.562362
2013,code.KG04,0.741692
2014,code.KG04,0.037975999999999996
2015,code.KG04,0.21439499999999997
2016,code.KG04,0.157299
2017,code.KG04,0.09170199999999999
2018,code.KG04,0.01
2007,code.KG06,0.042933
2008,code.KG06,5.639406
2009,code.KG06,0.05725499999999999
2010,code.KG06,0.198522
2011,code.KG06,0.369869
2012,code.KG06,0.17834
2013,code.KG06,0.010609
2014,code.KG06,0.0035700000000000003
2015,code.KG06,4.302561
2016,code.KG06,0.049422
2017,code.KG06,0.702855
2018,code.KG06,0.03
2007,code.KG07,0.21097800000000003
2008,code.KG07,0.051951
2009,code.KG07,0.405354
2010,code.KG07,0.29974
2011,code.KG07,0.045176999999999995
2012,code.KG07,0.518047
2013,code.KG07,0.059489999999999994
2014,code.KG07,0.008098000000000001
2015,code.KG07,0.061364999999999996
2016,code.KG07,0.5173180000000001
2017,code.KG07,0.092032
2018,code.KG07,0.0
2007,code.KG08,0.035582
2010,code.KG08,0.0057009999999999995
2011,code.KG08,0.01326
2012,code.KG08,0.004035
2013,code.KG08,0.029168
2014,code.KG08,0.033948
2015,code.KG08,0.033197000000000004
2016,code.KG08,0.118862
2017,code.KG08,0.23467800000000003
2018,code.KG08,0.01
2007,code.KG11,0.063779
2008,code.KG11,0.060758000000000006
2013,code.KG11,0.0005099999999999999
2015,code.KG11,0.028177999999999998
2016,code.KG11,0.047988
2017,code.KG11,0.006461
2018,code.KG11,0.37
2007,code.KG21,0.01574
2008,code.KG21,0.0033710000000000003
2012,code.KG21,0.006958
2013,code.KG21,0.034602
2015,code.KG21,0.6187199999999999
2016,code.KG21,0.001192
2017,code.KG21,0.202023
