Year,Value,Series
2007,43.1,_L_KG_010A02_1
2008,41.5,_L_KG_010A02_1
2009,39.0,_L_KG_010A02_1
2010,42.8,_L_KG_010A02_1
2011,45.3,_L_KG_010A02_1
2012,47.1,_L_KG_010A02_1
2013,51.6,_L_KG_010A02_1
2014,47.6,_L_KG_010A02_1
2015,46.8,_L_KG_010A02_1
2016,45.3,_L_KG_010A02_1
2017,45.3,_L_KG_010A02_1
2018,48.9,_L_KG_010A02_1
2019,49.2,_L_KG_010A02_1
2007,22.4,SD_XPD_ESED
2008,21.4,SD_XPD_ESED
2009,19.6,SD_XPD_ESED
2010,17.4,SD_XPD_ESED
2011,19.9,SD_XPD_ESED
2012,20.2,SD_XPD_ESED
2013,20.8,SD_XPD_ESED
2014,18.5,SD_XPD_ESED
2015,18.9,SD_XPD_ESED
2016,20.0,SD_XPD_ESED
2017,19.4,SD_XPD_ESED
2018,21.1,SD_XPD_ESED
2019,21.4,SD_XPD_ESED
2007,10.2,SG_XPD_HLTH
2008,9.8,SG_XPD_HLTH
2009,9.9,SG_XPD_HLTH
2010,9.3,SG_XPD_HLTH
2011,9.9,SG_XPD_HLTH
2012,10.6,SG_XPD_HLTH
2013,11.3,SG_XPD_HLTH
2014,9.9,SG_XPD_HLTH
2015,9.5,SG_XPD_HLTH
2016,8.8,SG_XPD_HLTH
2017,9.7,SG_XPD_HLTH
2018,8.6,SG_XPD_HLTH
2019,8.3,SG_XPD_HLTH
2007,10.5,SG_XPD_PROT
2008,10.3,SG_XPD_PROT
2009,9.5,SG_XPD_PROT
2010,16.1,SG_XPD_PROT
2011,15.5,SG_XPD_PROT
2012,16.3,SG_XPD_PROT
2013,19.5,SG_XPD_PROT
2014,19.2,SG_XPD_PROT
2015,18.4,SG_XPD_PROT
2016,16.5,SG_XPD_PROT
2017,16.2,SG_XPD_PROT
2018,19.1,SG_XPD_PROT
2019,19.5,SG_XPD_PROT
