Year,Value,Series
2007,22.4,"Proportion of total government spending on essential services, education"
2008,21.4,"Proportion of total government spending on essential services, education"
2009,19.6,"Proportion of total government spending on essential services, education"
2010,17.4,"Proportion of total government spending on essential services, education"
2011,19.9,"Proportion of total government spending on essential services, education"
2012,20.2,"Proportion of total government spending on essential services, education"
2013,208.0,"Proportion of total government spending on essential services, education"
2014,185.0,"Proportion of total government spending on essential services, education"
2015,189.0,"Proportion of total government spending on essential services, education"
2016,200.0,"Proportion of total government spending on essential services, education"
2017,19.4,"Proportion of total government spending on essential services, education"
2018,21.1,"Proportion of total government spending on essential services, education"
2007,10.2,Proportion of total government spending on health
2008,9.8,Proportion of total government spending on health
2009,9.9,Proportion of total government spending on health
2010,9.3,Proportion of total government spending on health
2011,9.9,Proportion of total government spending on health
2012,10.6,Proportion of total government spending on health
2013,11.3,Proportion of total government spending on health
2014,9.9,Proportion of total government spending on health
2015,9.5,Proportion of total government spending on health
2016,8.8,Proportion of total government spending on health
2017,9.7,Proportion of total government spending on health
2018,8.6,Proportion of total government spending on health
2007,10.5,Proportion of total government spending on social protection
2008,10.3,Proportion of total government spending on social protection
2009,9.5,Proportion of total government spending on social protection
2010,16.1,Proportion of total government spending on social protection
2011,15.5,Proportion of total government spending on social protection
2012,16.3,Proportion of total government spending on social protection
2013,19.5,Proportion of total government spending on social protection
2014,19.2,Proportion of total government spending on social protection
2015,18.4,Proportion of total government spending on social protection
2016,16.5,Proportion of total government spending on social protection
2017,16.2,Proportion of total government spending on social protection
2018,19.1,Proportion of total government spending on social protection
