Year,Units,Value
2007,Portugal,528719.0
2008,Portugal,558865.0
2009,Portugal,564567.0
2010,Portugal,574816.0
2011,Portugal,593670.0
2012,Portugal,613147.0
2013,Portugal,625354.0
2014,Portugal,634261.0
2015,Portugal,646854.0
2016,Portugal,661202.0
2017,Portugal,673230.0
2018,Portugal,694839.0
2007,Portugal,10.1
2008,Portugal,10.6
2009,Portugal,10.5
2010,Portugal,10.6
2011,Portugal,10.8
2012,Portugal,11.0
2013,Portugal,10.8
2014,Portugal,10.8
2015,Portugal,10.7
2016,Portugal,10.8
2017,Portugal,10.8
2018,Portugal,10.9
2007,Number,434382.0
2008,Number,361606.0
2009,Number,370838.0
2010,Number,362068.0
2011,Number,376845.0
2012,Number,343530.0
2013,Number,336228.0
2014,Number,310717.0
2015,Number,304277.0
2016,Number,275907.0
2017,Number,291846.0
2018,Number,276447.0
2007,Portugal,8.3
2008,Portugal,6.8
2009,Portugal,6.9
2010,Portugal,6.6
2011,Portugal,6.9
2012,Portugal,6.2
2013,Portugal,5.8
2014,Portugal,5.3
2015,Portugal,5.1
2016,Portugal,4.5
2017,Portugal,4.7
2018,Portugal,4.5
2007,Number,58984.0
2008,Number,60863.0
2009,Number,63069.0
2010,Number,67596.0
2011,Number,70507.0
2012,Number,71266.0
2013,Number,74835.0
2014,Number,77570.0
2015,Number,80544.0
2016,Number,84282.0
2017,Number,86958.0
2018,Number,88778.0
2007,Portugal,1.1
2008,Portugal,1.2
2009,Portugal,1.2
2010,Portugal,1.2
2011,Portugal,1.3
2012,Portugal,1.3
2013,Portugal,1.3
2014,Portugal,1.3
2015,Portugal,1.3
2016,Portugal,1.4
2017,Portugal,1.4
2018,Portugal,1.4
