Year,Series,Value
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.1
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.3
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.4
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.5
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.1
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.2
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.9
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),95.8
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.6
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),96.1
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),93.4
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),94.5
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.8
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.1
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.9
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.3
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.2
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.7
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),98.666102
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),95.6
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),99.1
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),97.0
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),94.7
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),96.244215
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),96.8
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),97.2
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),94.2
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),92.0
