Year,concept.REF_AREA,Value
2007,,35.3
2008,,31.5
2009,,29.3
2010,,26.5
2011,,24.5
2012,,23.4
2013,,23.29
2014,,23.14
2015,,21.46
2016,,19.8
2017,,18.5
2018,,17.6
2019,,17.5
2007,CL_AREA.KG05,40.3
2008,CL_AREA.KG05,39.7
2009,CL_AREA.KG05,33.7
2010,CL_AREA.KG05,34.34
2011,CL_AREA.KG05,28.7
2012,CL_AREA.KG05,25.9
2013,CL_AREA.KG05,25.75
2014,CL_AREA.KG05,23.61
2015,CL_AREA.KG05,21.75
2016,CL_AREA.KG05,18.8
2017,CL_AREA.KG05,18.6
2018,CL_AREA.KG05,14.9
2019,CL_AREA.KG05,17.7
2007,CL_AREA.KG03,30.8
2008,CL_AREA.KG03,26.2
2009,CL_AREA.KG03,24.5
2010,CL_AREA.KG03,21.87
2011,CL_AREA.KG03,20.7
2012,CL_AREA.KG03,19.8
2013,CL_AREA.KG03,20.95
2014,CL_AREA.KG03,21.88
2015,CL_AREA.KG03,21.1
2016,CL_AREA.KG03,19.75
2017,CL_AREA.KG03,17.2
2018,CL_AREA.KG03,15.7
2019,CL_AREA.KG03,16.2
2007,CL_AREA.KG02,28.9
2008,CL_AREA.KG02,28.0
2009,CL_AREA.KG02,24.9
2010,CL_AREA.KG02,22.32
2011,CL_AREA.KG02,24.8
2012,CL_AREA.KG02,24.0
2013,CL_AREA.KG02,19.47
2014,CL_AREA.KG02,16.9
2015,CL_AREA.KG02,18.76
2016,CL_AREA.KG02,17.8
2017,CL_AREA.KG02,15.2
2018,CL_AREA.KG02,14.3
2019,CL_AREA.KG02,18.3
2007,CL_AREA.KG04,33.9
2008,CL_AREA.KG04,30.1
2009,CL_AREA.KG04,28.0
2010,CL_AREA.KG04,25.0
2011,CL_AREA.KG04,20.1
2012,CL_AREA.KG04,21.7
2013,CL_AREA.KG04,20.2
2014,CL_AREA.KG04,22.58
2015,CL_AREA.KG04,16.77
2016,CL_AREA.KG04,17.9
2017,CL_AREA.KG04,18.2
2018,CL_AREA.KG04,15.1
2019,CL_AREA.KG04,12.5
2007,CL_AREA.KG06,34.7
2008,CL_AREA.KG06,29.9
2009,CL_AREA.KG06,26.1
2010,CL_AREA.KG06,24.14
2011,CL_AREA.KG06,21.1
2012,CL_AREA.KG06,19.0
2013,CL_AREA.KG06,17.17
2014,CL_AREA.KG06,14.96
2015,CL_AREA.KG06,14.31
2016,CL_AREA.KG06,12.2
2017,CL_AREA.KG06,11.7
2018,CL_AREA.KG06,11.0
2019,CL_AREA.KG06,10.6
2007,CL_AREA.KG07,43.8
2008,CL_AREA.KG07,38.3
2009,CL_AREA.KG07,39.0
2010,CL_AREA.KG07,29.52
2011,CL_AREA.KG07,27.7
2012,CL_AREA.KG07,22.9
2013,CL_AREA.KG07,26.52
2014,CL_AREA.KG07,24.14
2015,CL_AREA.KG07,17.77
2016,CL_AREA.KG07,19.7
2017,CL_AREA.KG07,17.1
2018,CL_AREA.KG07,22.8
2019,CL_AREA.KG07,20.6
2007,CL_AREA.KG08,31.6
2008,CL_AREA.KG08,27.4
2009,CL_AREA.KG08,25.1
2010,CL_AREA.KG08,24.2
2011,CL_AREA.KG08,22.6
2012,CL_AREA.KG08,20.8
2013,CL_AREA.KG08,21.22
2014,CL_AREA.KG08,18.55
2015,CL_AREA.KG08,17.08
2016,CL_AREA.KG08,16.45
2017,CL_AREA.KG08,12.9
2018,CL_AREA.KG08,12.7
2019,CL_AREA.KG08,13.1
2007,CL_AREA.KG11,36.3
2008,CL_AREA.KG11,34.6
2009,CL_AREA.KG11,32.3
2010,CL_AREA.KG11,28.2
2011,CL_AREA.KG11,26.2
2012,CL_AREA.KG11,24.8
2013,CL_AREA.KG11,25.69
2014,CL_AREA.KG11,28.61
2015,CL_AREA.KG11,26.6
2016,CL_AREA.KG11,25.7
2017,CL_AREA.KG11,26.4
2018,CL_AREA.KG11,25.1
2019,CL_AREA.KG11,21.7
2007,CL_AREA.KG21,63.7
2008,CL_AREA.KG21,52.9
2009,CL_AREA.KG21,64.4
2010,CL_AREA.KG21,52.94
2011,CL_AREA.KG21,58.3
2012,CL_AREA.KG21,63.4
2013,CL_AREA.KG21,65.59
2014,CL_AREA.KG21,72.35
2015,CL_AREA.KG21,70.26
2016,CL_AREA.KG21,60.0
2017,CL_AREA.KG21,53.1
2018,CL_AREA.KG21,39.0
2019,CL_AREA.KG21,37.2
