Year,Reference area,Sex,Value
2007,,,1.5
2008,,,1.9
2009,,,1.3
2010,,,0.9
2011,,,1.0
2012,,,1.1
2013,,,0.8
2014,,,0.8
2015,,,0.7
2016,,,0.8
2017,,,0.8
2018,,,0.8
2019,,,0.9
2020,,,0.8
2007,,Female,0.9
2008,,Female,1.4
2009,,Female,0.8
2010,,Female,0.6
2011,,Female,0.4
2012,,Female,0.7
2013,,Female,0.5
2014,,Female,0.3
2015,,Female,0.3
2016,,Female,0.4
2017,,Female,0.4
2018,,Female,0.5
2019,,Female,0.5
2020,,Female,0.6
2007,,Male,2.2
2008,,Male,2.4
2009,,Male,1.8
2010,,Male,1.2
2011,,Male,1.6
2012,,Male,1.6
2013,,Male,1.2
2014,,Male,1.3
2015,,Male,1.2
2016,,Male,1.1
2017,,Male,1.2
2018,,Male,1.1
2019,,Male,1.3
2020,,Male,1.0
2007,Batken,,0.9
2008,Batken,,0.2
2009,Batken,,1.6
2011,Batken,,0.4
2013,Batken,,0.6
2014,Batken,,0.2
2015,Batken,,1.6
2016,Batken,,0.2
2017,Batken,,1.6
2018,Batken,,0.8
2019,Batken,,3.2
2020,Batken,,2.4
2009,Batken,Female,0.9
2013,Batken,Female,0.9
2017,Batken,Female,0.4
2018,Batken,Female,0.8
2019,Batken,Female,1.9
2020,Batken,Female,1.1
2007,Batken,Male,1.9
2008,Batken,Male,0.5
2009,Batken,Male,2.3
2011,Batken,Male,0.9
2013,Batken,Male,0.4
2014,Batken,Male,0.4
2015,Batken,Male,3.2
2016,Batken,Male,0.4
2017,Batken,Male,2.7
2018,Batken,Male,0.8
2019,Batken,Male,4.4
2020,Batken,Male,3.6
2007,Jalal-Abad,,0.2
2008,Jalal-Abad,,0.2
2009,Jalal-Abad,,0.9
2010,Jalal-Abad,,0.6
2011,Jalal-Abad,,0.3
2012,Jalal-Abad,,0.5
2015,Jalal-Abad,,0.1
2016,Jalal-Abad,,0.1
2017,Jalal-Abad,,0.5
2019,Jalal-Abad,,0.4
2020,Jalal-Abad,,0.5
2009,Jalal-Abad,Female,0.8
2010,Jalal-Abad,Female,0.6
2012,Jalal-Abad,Female,0.2
2019,Jalal-Abad,Female,0.3
2020,Jalal-Abad,Female,0.5
2007,Jalal-Abad,Male,0.4
2008,Jalal-Abad,Male,0.4
2009,Jalal-Abad,Male,1.0
2010,Jalal-Abad,Male,0.6
2011,Jalal-Abad,Male,0.6
2012,Jalal-Abad,Male,0.7
2015,Jalal-Abad,Male,0.2
2016,Jalal-Abad,Male,0.2
2017,Jalal-Abad,Male,1.0
2019,Jalal-Abad,Male,0.5
2020,Jalal-Abad,Male,0.5
2007,Issyk-Kul,,2.8
2008,Issyk-Kul,,3.7
2009,Issyk-Kul,,2.5
2010,Issyk-Kul,,1.4
2011,Issyk-Kul,,1.8
2012,Issyk-Kul,,0.7
2013,Issyk-Kul,,1.5
2014,Issyk-Kul,,2.4
2015,Issyk-Kul,,0.2
2016,Issyk-Kul,,1.3
2017,Issyk-Kul,,1.0
2018,Issyk-Kul,,0.8
