Year,Series,Value
2007,CL_SERIES._L_KG_060101_2B1,2.1
2008,CL_SERIES._L_KG_060101_2B1,2.4
2009,CL_SERIES._L_KG_060101_2B1,2.0
2010,CL_SERIES._L_KG_060101_2B1,2.9
2011,CL_SERIES._L_KG_060101_2B1,2.0
2012,CL_SERIES._L_KG_060101_2B1,2.5
2013,CL_SERIES._L_KG_060101_2B1,2.5
2014,CL_SERIES._L_KG_060101_2B1,1.3
2015,CL_SERIES._L_KG_060101_2B1,1.6
2016,CL_SERIES._L_KG_060101_2B1,2.1
2017,CL_SERIES._L_KG_060101_2B1,2.0
2018,CL_SERIES._L_KG_060101_2B1,1.7
2019,CL_SERIES._L_KG_060101_2B1,1.4
2007,CL_SERIES._L_KG_060101_2B2,10.6
2008,CL_SERIES._L_KG_060101_2B2,10.7
2009,CL_SERIES._L_KG_060101_2B2,9.5
2010,CL_SERIES._L_KG_060101_2B2,11.3
2011,CL_SERIES._L_KG_060101_2B2,12.7
2012,CL_SERIES._L_KG_060101_2B2,10.7
2013,CL_SERIES._L_KG_060101_2B2,8.4
2014,CL_SERIES._L_KG_060101_2B2,6.5
2015,CL_SERIES._L_KG_060101_2B2,7.7
2016,CL_SERIES._L_KG_060101_2B2,8.4
2017,CL_SERIES._L_KG_060101_2B2,8.1
2018,CL_SERIES._L_KG_060101_2B2,8.2
2019,CL_SERIES._L_KG_060101_2B2,8.6
