Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2018,,,,,,,48.5
2019,,,,,,,52.21498
2020,,,,,,,50.7
2018,,,,U,,,66.0
2019,,,,U,,,63.551047
2020,,,,U,,,63.4
2018,,,,R,,,38.1
2019,,,,R,,,45.472134
2020,,,,R,,,42.9
2018,,M,,,,,47.9
2019,,M,,,,,53.271701
2020,,M,,,,,51.2
2018,,F,,,,,49.0
2019,,F,,,,,51.333358
2020,,F,,,,,50.3
2018,KG05,,,,,,32.9
2019,KG05,,,,,,58.744301
2020,KG05,,,,,,59.3
2018,KG03,,,,,,18.3
2019,KG03,,,,,,28.903645
2020,KG03,,,,,,31.4
2018,KG02,,,,,,72.5
2019,KG02,,,,,,74.566373
2020,KG02,,,,,,70.3
2018,KG04,,,,,,39.3
2019,KG04,,,,,,46.956365
2020,KG04,,,,,,45.0
2018,KG06,,,,,,39.6
2019,KG06,,,,,,48.545801
2020,KG06,,,,,,38.5
2018,KG07,,,,,,42.2
2019,KG07,,,,,,44.503622
2020,KG07,,,,,,47.0
2018,KG08,,,,,,63.1
2019,KG08,,,,,,54.516309
2020,KG08,,,,,,54.6
2018,KG11,,,,,,67.7
2019,KG11,,,,,,59.847788
2020,KG11,,,,,,61.3
2018,KG21,,,,,,94.6
2019,KG21,,,,,,94.985632
2020,KG21,,,,,,93.2
2018,,,Y15T28,,,,48.4
2019,,,Y15T28,,,,52.97992
2020,,,Y15T28,,,,51.0
2018,,,Y29T62,,,,48.9
2019,,,Y29T62,,,,52.777792
2020,,,Y29T62,,,,51.5
2018,,,Y_GE58,,,,48.1
2019,,,Y_GE58,,,,49.028951
2020,,,Y_GE58,,,,47.9
2018,,,,,,ISCED11_1,48.2
2019,,,,,,ISCED11_1,51.492251
2020,,,,,,ISCED11_1,49.3
2018,,,,,,ISCED11_2,51.2
2019,,,,,,ISCED11_2,52.713048
2020,,,,,,ISCED11_2,52.4
2018,,,,,,ISCED11_3,42.7
2019,,,,,,ISCED11_3,48.72395
2020,,,,,,ISCED11_3,46.6
2018,,,,,,ISCED11_4,55.4
2019,,,,,,ISCED11_4,55.333195
2020,,,,,,ISCED11_4,55.2
2018,,,,,,ISCED11_6_7,56.0
2019,,,,,,ISCED11_6_7,58.324491
2020,,,,,,ISCED11_6_7,56.6
2018,,,,,Q1,,37.439764
2019,,,,,Q1,,40.12009
2020,,,,,Q1,,44.527351
2018,,,,,Q2,,46.499747
2019,,,,,Q2,,50.779258
2020,,,,,Q2,,49.788536
2018,,,,,Q3,,48.377566
2019,,,,,Q3,,52.031241
2020,,,,,Q3,,52.16559
2018,,,,,Q4,,51.090005
2019,,,,,Q4,,55.909722
2020,,,,,Q4,,54.891441
2018,,,,,Q5,,55.275396
2019,,,,,Q5,,58.214146
2020,,,,,Q5,,54.537504
