Year,Показатель,Value
2008,Инвестиционный кредит,
2009,Инвестиционный кредит,7150.0
2010,Инвестиционный кредит,
2011,Инвестиционный кредит,7200.0
2012,Инвестиционный кредит,
2013,Инвестиционный кредит,1950.0
2014,Инвестиционный кредит,10400.0
2015,Инвестиционный кредит,
2016,Инвестиционный кредит,46950.0
2017,Инвестиционный кредит,
2018,Инвестиционный кредит,
2019,Инвестиционный кредит,50000.0
2008,Инвестиционный грант,8700.0
2009,Инвестиционный грант,6500.0
2010,Инвестиционный грант,
2011,Инвестиционный грант,13860.0
2012,Инвестиционный грант,
2013,Инвестиционный грант,7350.0
2014,Инвестиционный грант,11185.0
2015,Инвестиционный грант,5772.3
2016,Инвестиционный грант,12402.5
2017,Инвестиционный грант,
2018,Инвестиционный грант,
2019,Инвестиционный грант,
2008,Инвестиционный кредит и грант,
2009,Инвестиционный кредит и грант,10000.0
2010,Инвестиционный кредит и грант,
2011,Инвестиционный кредит и грант,
2012,Инвестиционный кредит и грант,7000.0
2013,Инвестиционный кредит и грант,
2014,Инвестиционный кредит и грант,4890.0
2015,Инвестиционный кредит и грант,9100.0
2016,Инвестиционный кредит и грант,30100.0
2017,Инвестиционный кредит и грант,59930.0
2018,Инвестиционный кредит и грант,48020.0
2019,Инвестиционный кредит и грант,24887.5
