Year,REF_AREA,Value
2007,,51.9
2008,,55.0
2009,,63.5
2010,,51.3
2011,,54.8
2012,,49.1
2013,,36.0
2014,,50.1
2015,,38.5
2016,,30.3
2017,,31.9
2018,,28.6
2019,,24.8
2007,KG05,74.8
2008,KG05,66.6
2009,KG05,41.7
2010,KG05,59.7
2011,KG05,66.9
2012,KG05,43.5
2013,KG05,42.0
2014,KG05,108.7
2015,KG05,26.1
2016,KG05,41.9
2017,KG05,51.9
2018,KG05,33.6
2019,KG05,25.8
2007,KG03,32.8
2008,KG03,66.6
2009,KG03,40.3
2010,KG03,31.1
2011,KG03,36.5
2012,KG03,55.9
2013,KG03,33.0
2014,KG03,53.7
2015,KG03,53.3
2016,KG03,33.5
2017,KG03,53.6
2018,KG03,38.2
2019,KG03,37.2
2007,KG02,89.7
2008,KG02,122.9
2009,KG02,72.0
2010,KG02,70.4
2011,KG02,62.6
2012,KG02,97.2
2013,KG02,37.2
2014,KG02,55.3
2015,KG02,26.7
2016,KG02,34.7
2017,KG02,37.0
2018,KG02,71.2
2019,KG02,28.4
2007,KG04,62.3
2008,KG04,46.2
2009,KG04,105.5
2010,KG04,69.6
2011,KG04,83.3
2012,KG04,56.2
2013,KG04,29.0
2014,KG04,135.7
2015,KG04,30.6
2016,KG04,43.7
2018,KG04,105.7
2019,KG04,16.6
2007,KG06,26.0
2008,KG06,54.4
2009,KG06,93.2
2010,KG06,78.6
2011,KG06,62.5
2012,KG06,58.1
2013,KG06,42.8
2014,KG06,43.4
2015,KG06,43.4
2016,KG06,24.9
2017,KG06,25.6
2018,KG06,19.5
2019,KG06,25.5
2007,KG07,120.3
2008,KG07,51.1
2009,KG07,61.3
2010,KG07,87.0
2011,KG07,40.9
2012,KG07,14.1
2013,KG07,14.8
2014,KG07,44.6
2015,KG07,15.1
2019,KG07,16.6
2007,KG08,78.3
2008,KG08,34.4
2009,KG08,61.1
2010,KG08,49.5
2011,KG08,69.0
2012,KG08,41.2
2013,KG08,50.4
2014,KG08,44.4
2015,KG08,40.3
2016,KG08,47.9
2017,KG08,22.9
2018,KG08,4.0
2019,KG08,32.5
2007,KG11,17.3
2008,KG11,22.0
2009,KG11,20.4
2010,KG11,19.4
2011,KG11,43.3
2012,KG11,18.0
2013,KG11,26.1
2014,KG11,16.4
2015,KG11,30.5
2016,KG11,17.6
2017,KG11,13.4
2018,KG11,18.0
2019,KG11,16.9
2007,KG21,100.6
2008,KG21,38.6
2009,KG21,168.4
2011,KG21,35.7
2012,KG21,60.3
2013,KG21,15.0
2015,KG21,40.9
2016,KG21,13.5
2017,KG21,64.9
2018,KG21,8.3
