Year,Series,Value
2007,CL_SERIES._L_KG_010A02_1,43.1
2008,CL_SERIES._L_KG_010A02_1,41.5
2009,CL_SERIES._L_KG_010A02_1,39.0
2010,CL_SERIES._L_KG_010A02_1,42.8
2011,CL_SERIES._L_KG_010A02_1,45.3
2012,CL_SERIES._L_KG_010A02_1,47.1
2013,CL_SERIES._L_KG_010A02_1,51.6
2014,CL_SERIES._L_KG_010A02_1,47.6
2015,CL_SERIES._L_KG_010A02_1,46.8
2016,CL_SERIES._L_KG_010A02_1,45.3
2017,CL_SERIES._L_KG_010A02_1,45.3
2018,CL_SERIES._L_KG_010A02_1,48.9
2019,CL_SERIES._L_KG_010A02_1,49.2
2007,CL_SERIES.SD_XPD_ESED,22.4
2008,CL_SERIES.SD_XPD_ESED,21.4
2009,CL_SERIES.SD_XPD_ESED,19.6
2010,CL_SERIES.SD_XPD_ESED,17.4
2011,CL_SERIES.SD_XPD_ESED,19.9
2012,CL_SERIES.SD_XPD_ESED,20.2
2013,CL_SERIES.SD_XPD_ESED,20.8
2014,CL_SERIES.SD_XPD_ESED,18.5
2015,CL_SERIES.SD_XPD_ESED,18.9
2016,CL_SERIES.SD_XPD_ESED,20.0
2017,CL_SERIES.SD_XPD_ESED,19.4
2018,CL_SERIES.SD_XPD_ESED,21.1
2019,CL_SERIES.SD_XPD_ESED,21.4
2007,CL_SERIES.SG_XPD_HLTH,10.2
2008,CL_SERIES.SG_XPD_HLTH,9.8
2009,CL_SERIES.SG_XPD_HLTH,9.9
2010,CL_SERIES.SG_XPD_HLTH,9.3
2011,CL_SERIES.SG_XPD_HLTH,9.9
2012,CL_SERIES.SG_XPD_HLTH,10.6
2013,CL_SERIES.SG_XPD_HLTH,11.3
2014,CL_SERIES.SG_XPD_HLTH,9.9
2015,CL_SERIES.SG_XPD_HLTH,9.5
2016,CL_SERIES.SG_XPD_HLTH,8.8
2017,CL_SERIES.SG_XPD_HLTH,9.7
2018,CL_SERIES.SG_XPD_HLTH,8.6
2019,CL_SERIES.SG_XPD_HLTH,8.3
2007,CL_SERIES.SG_XPD_PROT,10.5
2008,CL_SERIES.SG_XPD_PROT,10.3
2009,CL_SERIES.SG_XPD_PROT,9.5
2010,CL_SERIES.SG_XPD_PROT,16.1
2011,CL_SERIES.SG_XPD_PROT,15.5
2012,CL_SERIES.SG_XPD_PROT,16.3
2013,CL_SERIES.SG_XPD_PROT,19.5
2014,CL_SERIES.SG_XPD_PROT,19.2
2015,CL_SERIES.SG_XPD_PROT,18.4
2016,CL_SERIES.SG_XPD_PROT,16.5
2017,CL_SERIES.SG_XPD_PROT,16.2
2018,CL_SERIES.SG_XPD_PROT,19.1
2019,CL_SERIES.SG_XPD_PROT,19.5
