Year,COMPOSITE_BREAKDOWN,Value
2014,_L_CNT_RU,465
2015,_L_CNT_RU,445
2016,_L_CNT_RU,360
2017,_L_CNT_RU,364
2018,_L_CNT_RU,347
2019,_L_CNT_RU,330
2014,_L_CNT_BY,3
2015,_L_CNT_BY,5
2016,_L_CNT_BY,2
2017,_L_CNT_BY,5
2018,_L_CNT_BY,2
2014,_L_CNT_KZ,1
2015,_L_CNT_KZ,5
2016,_L_CNT_KZ,5
2017,_L_CNT_KZ,5
2018,_L_CNT_KZ,5
2019,_L_CNT_KZ,3
2014,_L_CNT_TJ,50
2015,_L_CNT_TJ,47
2016,_L_CNT_TJ,44
2017,_L_CNT_TJ,21
2018,_L_CNT_TJ,33
2014,_L_CNT_CN,0
2015,_L_CNT_CN,0
2016,_L_CNT_CN,0
2017,_L_CNT_CN,25
2018,_L_CNT_CN,15
2019,_L_CNT_CN,27
2014,_L_CNT_HU,0
2015,_L_CNT_HU,0
2016,_L_CNT_HU,0
2017,_L_CNT_HU,23
2018,_L_CNT_HU,27
2019,_L_CNT_HU,67
