Year,Series,concept.ACTIVITY,Units,Value
2007,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,87.7
2008,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,59.8
2009,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,49.9
2010,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,47.7
2011,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,43.3
2012,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,43.7
2013,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,38.5
2014,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,36.9
2015,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,31.5
2016,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,27.9
2017,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,26.9
2018,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,26.3
2019,CL_SERIES._L_KG_070301_2A,,CL_UNIT_MEASURE._L_KWH_MN_KGS,24.41
2007,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,20.5
2008,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,15.0
2009,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,15.6
2010,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,14.3
2011,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,14.3
2012,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,14.7
2013,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,14.9
2014,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,12.9
2015,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,16.1
2016,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,15.8
2017,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,16.3
2018,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,15.8
2019,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_A,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,14.32
2007,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,71.8
2008,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,46.0
2009,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,40.1
2010,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,33.1
2011,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,30.0
2012,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,41.2
2013,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,35.0
2014,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,43.0
2015,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,31.8
2016,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,26.3
2017,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,25.0
2018,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,25.5
2019,CL_SERIES._L_KG_070301_2A,CL_ACTIVITY.ISIC4_BTE,CL_UNIT_MEASURE._L_TH_KWH_MN_KGS,23.61
2007,CL_SERIES._L_KG_070301_2B,,CL_UNIT_MEASURE._L_KWH,158.9
2008,CL_SERIES._L_KG_070301_2B,,CL_UNIT_MEASURE._L_KWH,146.9
2009,CL_SERIES._L_KG_070301_2B,,CL_UNIT_MEASURE._L_KWH,168.8
