Year,concept.REF_AREA,concept.SEX,concept.AGE,concept.URBANISATION,Value
2016,,,,,50.2
2017,,,,,50.5
2018,,,,,45.8
2019,,,,,42.3
2016,,CL_SEX.M,,,50.3
2017,,CL_SEX.M,,,50.3
2018,,CL_SEX.M,,,45.8
2019,,CL_SEX.M,,,42.7
2016,,CL_SEX.F,,,50.1
2017,,CL_SEX.F,,,50.6
2018,,CL_SEX.F,,,45.9
2019,,CL_SEX.F,,,41.9
2016,,,CL_AGE.Y0T18,,59.7
2017,,,CL_AGE.Y0T18,,60.0
2018,,,CL_AGE.Y0T18,,56.0
2019,,,CL_AGE.Y0T18,,52.0
2016,,,CL_AGE.Y18T64,,43.7
2017,,,CL_AGE.Y18T64,,44.1
2018,,,CL_AGE.Y18T64,,39.3
2019,,,CL_AGE.Y18T64,,35.9
2016,,,CL_AGE.Y_GE65,,49.2
2017,,,CL_AGE.Y_GE65,,46.4
2018,,,CL_AGE.Y_GE65,,38.6
2019,,,CL_AGE.Y_GE65,,37.0
2016,,,,CL_URBANISATION.U,36.9
2017,,,,CL_URBANISATION.U,38.7
2018,,,,CL_URBANISATION.U,33.8
2019,,,,CL_URBANISATION.U,31.1
2016,,,,CL_URBANISATION.R,57.4
2017,,,,CL_URBANISATION.R,56.8
2018,,,,CL_URBANISATION.R,52.4
2019,,,,CL_URBANISATION.R,48.5
2016,CL_AREA.KG05,,,,64.9
2017,CL_AREA.KG05,,,,66.0
2018,CL_AREA.KG05,,,,64.8
2019,CL_AREA.KG05,,,,63.5
2016,CL_AREA.KG03,,,,59.6
2017,CL_AREA.KG03,,,,61.5
2018,CL_AREA.KG03,,,,53.8
2019,CL_AREA.KG03,,,,50.4
2016,CL_AREA.KG02,,,,45.2
2017,CL_AREA.KG02,,,,47.0
2018,CL_AREA.KG02,,,,42.7
2019,CL_AREA.KG02,,,,46.3
2016,CL_AREA.KG04,,,,58.3
2017,CL_AREA.KG04,,,,50.0
2018,CL_AREA.KG04,,,,48.5
2019,CL_AREA.KG04,,,,47.8
2016,CL_AREA.KG06,,,,57.5
2017,CL_AREA.KG06,,,,52.1
2018,CL_AREA.KG06,,,,58.5
2019,CL_AREA.KG06,,,,45.8
2016,CL_AREA.KG07,,,,49.8
2017,CL_AREA.KG07,,,,39.8
2018,CL_AREA.KG07,,,,43.0
2019,CL_AREA.KG07,,,,40.2
2016,CL_AREA.KG08,,,,45.4
2017,CL_AREA.KG08,,,,48.7
2018,CL_AREA.KG08,,,,28.0
2019,CL_AREA.KG08,,,,31.7
2016,CL_AREA.KG11,,,,26.8
2017,CL_AREA.KG11,,,,29.9
2018,CL_AREA.KG11,,,,25.4
2019,CL_AREA.KG11,,,,22.2
2016,CL_AREA.KG21,,,,47.3
2017,CL_AREA.KG21,,,,58.6
2018,CL_AREA.KG21,,,,51.3
2019,CL_AREA.KG21,,,,45.9
