Year,PRODUCT,Value
2010,_L_AGG_MEATS,63.132137
2011,_L_AGG_MEATS,63.132137
2012,_L_AGG_MEATS,60.195759
2013,_L_AGG_MEATS,55.138662
2014,_L_AGG_MEATS,56.443719
2015,_L_AGG_MEATS,64.600326
2016,_L_AGG_MEATS,63.132137
2017,_L_AGG_MEATS,62.805873
2018,_L_AGG_MEATS,65.742251
2019,_L_AGG_MEATS,69.168026
2010,_L_AGG_DAIRY,106.2
2011,_L_AGG_DAIRY,106.5
2012,_L_AGG_DAIRY,105.75
2013,_L_AGG_DAIRY,107.5
2014,_L_AGG_DAIRY,107.8
2015,_L_AGG_DAIRY,113.15
2016,_L_AGG_DAIRY,112.25
2017,_L_AGG_DAIRY,111.65
2018,_L_AGG_DAIRY,109.4
2019,_L_AGG_DAIRY,109.85
2010,_L_AGG_EGGS,43.506849
2011,_L_AGG_EGGS,45.041096
2012,_L_AGG_EGGS,44.273973
2013,_L_AGG_EGGS,45.479452
2014,_L_AGG_EGGS,44.767123
2015,_L_AGG_EGGS,47.287671
2016,_L_AGG_EGGS,43.835616
2017,_L_AGG_EGGS,47.123288
2018,_L_AGG_EGGS,47.342466
2019,_L_AGG_EGGS,52.219178
2010,_L_AGG_SUGAR,83.203125
2011,_L_AGG_SUGAR,83.59375
2012,_L_AGG_SUGAR,78.125
2013,_L_AGG_SUGAR,82.03125
2014,_L_AGG_SUGAR,76.953125
2015,_L_AGG_SUGAR,71.875
2016,_L_AGG_SUGAR,85.9375
2017,_L_AGG_SUGAR,89.0625
2018,_L_AGG_SUGAR,115.234375
2019,_L_AGG_SUGAR,98.4375
2010,_L_AGG_VEGOILS,131.393493
2011,_L_AGG_VEGOILS,129.24425
2012,_L_AGG_VEGOILS,118.291347
2013,_L_AGG_VEGOILS,136.911281
2014,_L_AGG_VEGOILS,139.101862
2015,_L_AGG_VEGOILS,140.197152
2016,_L_AGG_VEGOILS,116.100767
2017,_L_AGG_VEGOILS,112.814896
2018,_L_AGG_VEGOILS,104.052574
2019,_L_AGG_VEGOILS,106.243154
2010,_L_AGG_POTATO,98.181818
2011,_L_AGG_POTATO,99.494949
2012,_L_AGG_POTATO,99.393939
2013,_L_AGG_POTATO,99.494949
2014,_L_AGG_POTATO,99.494949
2015,_L_AGG_POTATO,108.282828
2016,_L_AGG_POTATO,108.282828
2017,_L_AGG_POTATO,107.7
2018,_L_AGG_POTATO,141.4
2019,_L_AGG_POTATO,125.557809
2010,_L_AGG_VEGS_GOURDS,131.3
2011,_L_AGG_VEGS_GOURDS,131.2
2012,_L_AGG_VEGS_GOURDS,131.052632
2013,_L_AGG_VEGS_GOURDS,130.701754
2014,_L_AGG_VEGS_GOURDS,131.578947
2015,_L_AGG_VEGS_GOURDS,139.473684
2016,_L_AGG_VEGS_GOURDS,141.403509
2017,_L_AGG_VEGS_GOURDS,153.0
2018,_L_AGG_VEGS_GOURDS,159.3
2019,_L_AGG_VEGS_GOURDS,140.244969
2010,_L_AGG_FRUITS_BERRIES,24.193548
2011,_L_AGG_FRUITS_BERRIES,23.225806
2012,_L_AGG_FRUITS_BERRIES,19.274194
2013,_L_AGG_FRUITS_BERRIES,21.612903
2014,_L_AGG_FRUITS_BERRIES,23.467742
2015,_L_AGG_FRUITS_BERRIES,25.16129
2016,_L_AGG_FRUITS_BERRIES,34.919355
2017,_L_AGG_FRUITS_BERRIES,34.5
2018,_L_AGG_FRUITS_BERRIES,27.0
2019,_L_AGG_FRUITS_BERRIES,34.195635
2010,_L_AGG_WHEATS,146.666259
2011,_L_AGG_WHEATS,146.492793
2012,_L_AGG_WHEATS,145.712192
2013,_L_AGG_WHEATS,147.44686
2014,_L_AGG_WHEATS,147.44686
2015,_L_AGG_WHEATS,146.579526
2016,_L_AGG_WHEATS,143.659907
2017,_L_AGG_WHEATS,129.855851
2018,_L_AGG_WHEATS,99.071586
2019,_L_AGG_WHEATS,96.994869
2010,_L_AGG_FISH,16.483516
2011,_L_AGG_FISH,20.879121
2012,_L_AGG_FISH,20.879121
2013,_L_AGG_FISH,20.879121
2014,_L_AGG_FISH,20.879121
2015,_L_AGG_FISH,20.879121
2016,_L_AGG_FISH,9.602909
2017,_L_AGG_FISH,9.89011
2018,_L_AGG_FISH,8.791209
2019,_L_AGG_FISH,6.593407
